CpG Site	P-value	Delta Beta	Beta Ratio	RA	HP	Chrosome	Start	End	Gene	CpG Island	Probe type
cg02797271	3.83E-08	-0.048	0.78	0.171631008	0.220070158	chr14	105532159	105532160	GPR132	NA	II
cg02800334	7.10E-08	-0.031	0.965	0.857179117	0.888189375	chr8	124750855	124750856	ANXA13	NA	II
cg02802072	7.47E-08	-0.034	0.94	0.522111192	0.555711175	chr17	79229124	79229125	SLC38A10	NA	II
cg02808338	3.49E-08	-0.002	0.033	8.02E-05	0.002409973	chr18	33077556	33077557	INO80C	Island	I
cg02817988	1.22E-08	-0.022	0.976	0.899193983	0.921154133	chr7	130350225	130350226	COPG2	N_Shelf	II
cg02852923	2.17E-08	0.015	1.017	0.899583317	0.884546975	chr1	1132852	1132853	TTLL10	Island	II
cg02867650	2.86E-08	-0.007	0.843	0.035888856	0.04259064	chr6	11094066	11094067	LOC221710	Island	II
cg02871053	1.12E-07	0.009	1.271	0.042164561	0.033176336	chr11	118307043	118307044	MLL	Island	I
cg02873046	1.80E-07	0.038	1.06	0.668143825	0.630182742	chr6	106062895	106062896	cg02873046	NA	II
cg02888894	3.35E-08	-0.05	0.93	0.661550258	0.711496833	chr20	62660605	62660606	PRPF6	N_Shore	II
cg02890259	2.61E-07	0.384	9.078	0.431778072	0.047562047	chr1	16345207	16345208	HSPB7	NA	II
cg02892357	1.34E-07	0.033	1.036	0.94908265	0.915971817	chr21	45789379	45789380	TRPM2	S_Shore	I
cg02892772	6.70E-08	-0.015	0.984	0.906526042	0.921137858	chr1	44991042	44991043	RNF220	NA	II
cg02898915	9.22E-08	-0.015	0.882	0.108698108	0.12328025	chr16	56677510	56677511	MT1DP	Island	II
cg02902672	1.62E-08	-0.627	0.177	0.135138817	0.761785233	chr6	32635360	32635361	HLA-DQB1	S_Shelf	II
cg02914097	2.83E-07	-0.058	0.851	0.332360617	0.390571917	chr3	31118948	31118949	cg02914097	NA	II
cg02919082	7.09E-09	-0.376	0.443	0.298724117	0.674507333	chr6	32605694	32605695	HLA-DQA1	NA	II
cg02919572	8.13E-08	-0.023	0.846	0.1264212	0.149351275	chr22	28196421	28196422	MN1	Island	II
cg02919799	2.54E-09	-0.044	0.82	0.200980525	0.244975583	chr17	48070788	48070789	DLX3	Island	II
cg02949864	1.58E-08	0.02	1.021	0.940813942	0.921234025	chr19	8553760	8553761	HNRNPM	N_Shore	I
cg02957735	1.06E-07	-0.02	0.977	0.872876525	0.893044642	chr2	220442677	220442678	cg02957735	NA	II
cg02960150	5.96E-08	-0.009	0.589	0.013275668	0.022544643	chr16	31191475	31191476	FUS	Island	I
cg02962944	7.35E-08	0.081	1.405	0.279487417	0.198853333	chr7	127912035	127912036	cg02962944	Island	II
cg02963000	1.42E-07	-0.034	0.953	0.703311583	0.737687958	chr17	75731360	75731361	cg02963000	NA	II
cg02963248	1.90E-07	-0.047	0.823	0.21704125	0.263744375	chr2	66809780	66809781	cg02963248	S_Shore	II
cg02964065	1.99E-07	0.077	1.112	0.77042245	0.693129833	chr6	32729545	32729546	HLA-DQB2	Island	I
cg02965870	1.72E-08	0.007	2.667	0.011479862	0.004304374	chr15	56285761	56285762	NEDD4	Island	I
cg02978262	3.03E-07	0.017	1.02	0.881924217	0.8644713	chr7	32582769	32582770	AVL9	NA	II
cg02981094	3.40E-07	0.039	1.047	0.883082083	0.843709583	chr11	59191832	59191833	OR5A2	NA	I
cg02981853	1.83E-07	-0.026	0.97	0.819456842	0.845067783	chr19	7445850	7445851	cg02981853	NA	II
cg02982160	3.42E-07	-0.008	0.783	0.029293243	0.037404346	chr12	120971999	120972000	RNF10	N_Shore	II
cg02982610	2.10E-07	-0.059	0.862	0.367186825	0.425777175	chr13	31309403	31309404	ALOX5AP	NA	II
cg02984617	3.23E-07	-0.119	0.848	0.662213517	0.780895617	chr11	30046617	30046618	cg02984617	NA	II
cg02995295	5.87E-08	-0.019	0.87	0.126093633	0.144853358	chr13	51796962	51796963	FAM124A	S_Shore	II
cg03003722	1.08E-08	0.04	1.074	0.578214892	0.538273033	chr6	38035488	38035489	ZFAND3	NA	II
cg03020485	4.03E-08	0.014	1.018	0.801481125	0.787376508	chr7	1748081	1748082	ELFN1	NA	II
cg03034070	1.03E-08	0.047	1.083	0.612194442	0.565252858	chr2	190044841	190044842	COL5A2	NA	II
cg03036422	3.10E-08	0.014	1.014	0.953869483	0.940296625	chr11	119549272	119549273	PVRL1	NA	I
cg03043835	3.26E-07	-0.009	0.845	0.046354237	0.054858536	chr17	39823496	39823497	cg03043835	S_Shore	II
cg03047277	1.40E-07	0.023	1.026	0.913101892	0.890317492	chr4	76862786	76862787	NAAA	S_Shore	II
cg03054080	8.92E-08	0.029	1.037	0.791641608	0.763123742	chr14	103216311	103216312	cg03054080	NA	II
cg03058466	1.95E-08	-0.06	0.931	0.808220758	0.868215517	chr18	14545004	14545005	POTEC	NA	II
cg03062881	1.17E-08	0.103	1.182	0.670028367	0.566823925	chr21	47844012	47844013	PCNT	N_Shore	II
cg03067226	3.24E-07	-0.012	0.767	0.040221891	0.052416104	chr12	6976333	6976334	TPI1	N_Shore	II
cg03070473	2.68E-07	-0.014	0.24	0.004559288	0.018977938	chr20	61436002	61436003	OGFR	Island	I
cg03072385	3.46E-07	-0.018	0.978	0.771875967	0.789582142	chr7	149433285	149433286	cg03072385	NA	II
cg03080147	5.51E-08	-0.063	0.915	0.675413392	0.7384707	chr8	17270347	17270348	MTMR7	N_Shore	II
cg03080377	3.31E-07	-0.007	0.812	0.029271895	0.036028127	chr15	63893412	63893413	FBXL22	Island	II
cg03093995	2.02E-09	-0.012	0.803	0.049881697	0.06208958	chr9	114393414	114393415	DNAJC25-GNG10	Island	II
cg03100906	6.00E-08	-0.052	0.932	0.707410083	0.7591558	chr16	84637476	84637477	COTL1	NA	II
cg03125498	2.37E-07	0.056	1.085	0.712973375	0.656969933	chr19	34112111	34112112	CHST8	N_Shore	I
cg03126765	2.71E-09	0.123	1.377	0.4491248	0.326238083	chr16	3125838	3125839	cg03126765	NA	II
cg03130627	1.39E-08	-0.005	0.109	0.00062982	0.005768839	chr6	159240554	159240555	EZR	Island	I
cg03131527	1.49E-07	0.037	1.054	0.714175075	0.677330833	chr3	197301250	197301251	BDH1	NA	II
cg03137826	8.33E-08	0.015	1.017	0.858716475	0.844036567	chr1	10720368	10720369	CASZ1	Island	II
cg03146951	4.97E-08	0.039	1.067	0.626697483	0.587417275	chr1	207850539	207850540	CR1L	NA	I
cg03156396	1.84E-08	-0.058	0.938	0.88798435	0.946384883	chr16	816177	816178	MSLN	NA	I
cg03157610	1.51E-07	-0.064	0.913	0.6674775	0.731071892	chr6	33377317	33377318	PHF1	N_Shore	II
cg03171651	2.22E-07	-0.029	0.964	0.779055508	0.807826608	chr17	20409125	20409126	MGC102966	NA	II
cg03198029	2.02E-07	0.037	1.045	0.850441067	0.813818692	chr2	128431385	128431386	LIMS2	N_Shore	II
cg03198372	1.32E-07	-0.018	0.939	0.286534508	0.305016125	chr22	29468588	29468589	KREMEN1	N_Shore	II
cg03202738	2.05E-07	-0.011	0.813	0.048487787	0.059620328	chr4	156129735	156129736	NPY2R	Island	II
cg03209251	1.47E-07	0.016	1.019	0.878031658	0.861534975	chr2	240033164	240033165	HDAC4	Island	II
cg03211473	1.04E-07	-0.011	0.691	0.024801012	0.035872269	chr6	32143869	32143870	AGPAT1	NA	I
cg03232960	2.17E-10	-0.012	0.63	0.019633211	0.031146992	chr7	2595437	2595438	C7orf27	Island	I
cg03240981	1.60E-07	-0.046	0.914	0.489805292	0.535620908	chr6	26615071	26615072	cg03240981	S_Shore	II
cg03243700	2.59E-07	-0.009	0.76	0.027975447	0.03680761	chr9	137000940	137000941	WDR5	Island	II
cg03262105	5.95E-08	-0.018	0.481	0.017130736	0.035593572	chr6	25280507	25280508	LRRC16A	S_Shore	I
cg03263197	7.23E-09	-0.331	0.11	0.041110384	0.372217475	chr1	110654497	110654498	UBL4B	NA	II
cg03280620	1.85E-08	-0.009	0.844	0.048245647	0.057167449	chr17	34890860	34890861	MYO19	Island	II
cg03295096	7.29E-09	0.006	1.873	0.012150791	0.006487651	chr2	173292268	173292269	ITGA6	Island	I
cg03300705	1.19E-07	-0.011	0.828	0.053147032	0.064163333	chr19	21950196	21950197	ZNF100	Island	I
cg03301189	5.14E-08	0.031	1.036	0.886163292	0.855553008	chr19	41787159	41787160	HNRNPUL1	NA	II
cg03306641	4.48E-08	-0.093	0.809	0.393159283	0.486201258	chr11	5645703	5645704	TRIM6-TRIM34	NA	II
cg03309367	2.79E-07	-0.022	0.783	0.078486935	0.100189563	chr4	190123549	190123550	cg03309367	NA	II
cg03319479	9.88E-08	-0.016	0.827	0.074197469	0.089764997	chr10	23487758	23487759	cg03319479	Island	II
cg03327325	4.82E-09	0.161	1.457	0.5144422	0.353111408	chr10	43846574	43846575	cg03327325	Island	II
cg03350299	2.23E-08	0.042	1.103	0.456937758	0.414453675	chr2	21266960	21266961	APOB	Island	II
cg03350683	2.52E-07	0.028	1.042	0.688195267	0.66035095	chr6	125448105	125448106	cg03350683	NA	II
cg03351412	6.41E-08	-0.004	0	0	0.003539547	chr1	154909251	154909252	PMVK	Island	I
cg03359362	2.49E-07	-0.062	0.502	0.062962211	0.125307575	chr19	47289611	47289612	SLC1A5	N_Shore	II
cg03361085	2.45E-07	0.017	1.02	0.835570592	0.819065575	chr11	1324625	1324626	TOLLIP	NA	II
cg03364504	9.72E-08	0.024	1.031	0.803839958	0.779621483	chr1	113393176	113393177	cg03364504	S_Shore	II
cg03366925	1.98E-07	-0.008	0.405	0.005570083	0.01376771	chr7	42277410	42277411	GLI3	Island	I
cg03373091	1.21E-07	-0.008	0.774	0.02799601	0.036169709	chr22	38902403	38902404	DDX17	Island	I
cg03373115	2.18E-07	-0.019	0.835	0.093957565	0.112502633	chr1	64058883	64058884	PGM1	N_Shore	II
cg03373960	1.67E-07	-0.164	0.758	0.512814317	0.676387175	chr1	65611925	65611926	AK3L1	N_Shore	II
cg03375056	1.03E-07	-0.043	0.949	0.793818225	0.836719875	chr1	29062431	29062432	YTHDF2	N_Shore	II
cg03379131	1.86E-08	-0.016	0.855	0.09513925	0.111278317	chr1	155024281	155024282	ADAM15	Island	II
cg03382501	8.98E-08	-0.047	0.911	0.482736083	0.530183917	chr16	11794641	11794642	TXNDC11	NA	II
cg03396229	2.14E-07	-0.008	0.888	0.063765257	0.071810499	chr8	139926571	139926572	COL22A1	NA	II
cg03407547	8.68E-08	-0.016	0.703	0.037685641	0.053635405	chr17	7255461	7255462	KCTD11	Island	I
cg03417191	6.28E-08	0.012	1.693	0.028117325	0.016605016	chr3	183542750	183542751	MAP6D1	Island	I
cg03421485	2.52E-07	-0.006	0.504	0.00607484	0.01204742	chr15	41221546	41221547	DLL4	Island	I
cg03428581	9.85E-08	-0.01	0.732	0.026331397	0.035972956	chr4	1340937	1340938	KIAA1530	Island	I
cg03435866	1.51E-07	0.013	1.014	0.930104292	0.917311075	chr2	30452607	30452608	cg03435866	N_Shore	II
cg03437140	9.76E-09	0.032	1.039	0.859374108	0.826964892	chr16	87759575	87759576	KLHDC4	NA	II
cg03462943	1.20E-07	0.026	1.033	0.817041317	0.791301517	chr2	128407068	128407069	GPR17	N_Shore	II
cg03479657	2.44E-07	0.006	1.119	0.054904558	0.049084889	chr2	85108429	85108430	C2orf89	Island	II
cg03485710	1.78E-07	-0.021	0.651	0.038657654	0.059384543	chr16	29827482	29827483	C16orf53	Island	I
cg03489642	1.50E-07	-0.017	0.98	0.8442552	0.861226458	chr7	116278357	116278358	cg03489642	NA	I
cg03489969	2.74E-07	-0.012	0.579	0.016791786	0.028998677	chr8	98881623	98881624	MATN2	Island	I
cg03493520	1.91E-07	-0.414	0.062	0.027559044	0.441684071	chr11	82535460	82535461	PRCP	NA	II
cg03496359	4.48E-08	0.012	1.013	0.978623367	0.966259133	chr17	80789086	80789087	TBCD	N_Shore	I
cg03499639	7.09E-08	-0.035	0.924	0.42586825	0.460923442	chr19	54041856	54041857	ZNF331	Island	II
cg03504160	2.71E-09	-0.024	0.971	0.804757833	0.828477283	chr4	6659194	6659195	cg03504160	N_Shore	II
cg03508204	7.70E-08	0.01	1.012	0.865149517	0.854821	chr2	129057540	129057541	HS6ST1	NA	II
cg03512369	2.81E-08	0.062	1.113	0.606961042	0.545453808	chrX	114827259	114827260	PLS3	NA	II
cg03521736	7.52E-09	-0.025	0.673	0.051688642	0.076752598	chr19	291022	291023	PPAP2C	Island	I
cg03522032	2.98E-08	-0.005	0.666	0.009211211	0.013839363	chr20	32951104	32951105	ITCH	Island	I
cg03524354	1.83E-08	-0.022	0.971	0.737168542	0.758906058	chr19	54301639	54301640	NLRP12	NA	II
cg03528848	3.98E-08	-0.011	0.675	0.023597133	0.034955908	chr1	1510724	1510725	SSU72	Island	I
cg03529568	3.01E-08	-0.055	0.676	0.114933831	0.170098933	chr17	30676722	30676723	ZNF207	N_Shore	II
cg03531778	1.05E-07	-0.029	0.968	0.883154992	0.91227495	chr12	105498294	105498295	cg03531778	N_Shelf	II
cg03554051	1.76E-08	-0.023	0.973	0.834912367	0.857648233	chr2	7597165	7597166	cg03554051	NA	II
cg03556393	2.02E-09	-0.007	0	0	0.006507208	chr12	54378789	54378790	HOXC10	Island	I
cg03577601	1.82E-09	-0.013	0.794	0.049121929	0.061888458	chr20	47663236	47663237	CSE1L	Island	II
cg03583643	5.98E-09	-0.01	0.46	0.008188416	0.017787933	chr3	71114116	71114117	FOXP1	N_Shore	I
cg03595924	2.73E-07	-0.014	0.783	0.048946427	0.062540516	chr10	75118103	75118104	TTC18	N_Shore	II
cg03596315	1.32E-07	-0.021	0.976	0.840359825	0.8613578	chr5	179563839	179563840	RASGEF1C	S_Shore	II
cg03607573	3.88E-09	-0.111	0.744	0.322451725	0.43363355	chr11	93471889	93471890	TAF1D	N_Shelf	II
cg03630596	3.36E-07	-0.059	0.918	0.659596958	0.718847742	chr9	139925856	139925857	C9orf139	Island	II
cg03630756	5.25E-08	0.024	1.032	0.782411808	0.758141058	chr19	41839506	41839507	TGFB1	S_Shelf	II
cg03634650	1.55E-07	-0.02	0.977	0.832670717	0.852212592	chr16	893904	893905	cg03634650	N_Shore	II
cg03634822	8.07E-08	-0.087	0.881	0.646823342	0.733959283	chr6	169013150	169013151	SMOC2	NA	II
cg03640071	7.18E-09	-0.059	0.923	0.708494125	0.767869675	chr11	134020750	134020751	JAM3	NA	II
cg03648116	1.63E-09	-0.024	0.972	0.839006067	0.862975575	chr11	105945234	105945235	KBTBD3	N_Shelf	II
cg03655389	6.74E-08	0.013	1.015	0.915338283	0.902142175	chr5	665188	665189	TPPP	Island	II
cg03659153	7.19E-08	0.016	1.018	0.90466625	0.888443492	chr7	37888670	37888671	TXNDC3	NA	II
cg03664589	2.31E-07	-0.03	0.956	0.6687401	0.699182292	chr7	1584275	1584276	TMEM184A	Island	II
cg03679544	1.45E-07	0.055	1.086	0.687994733	0.633482308	chr6	155537972	155537973	TIAM2	N_Shelf	I
cg03686645	1.06E-07	0.022	1.025	0.8931471	0.871401942	chr10	65030337	65030338	JMJD1C	NA	II
cg03692872	3.97E-08	0.022	1.027	0.848351133	0.826064667	chr16	89920734	89920735	SPIRE2	Island	II
cg03693515	2.75E-07	-0.01	0.823	0.04591878	0.055777934	chr11	123986151	123986152	VWA5A	NA	II
cg03709428	1.77E-08	0.143	1.324	0.584519592	0.441424258	chr6	31275741	31275742	cg03709428	N_Shore	II
cg03715070	1.04E-07	-0.03	0.853	0.176797258	0.207240783	chr17	46124684	46124685	NFE2L1	N_Shore	II
cg03718353	2.35E-07	0.03	1.039	0.785904558	0.756384992	chr8	142437137	142437138	PTP4A3	Island	II
cg03718411	9.00E-09	0.038	1.057	0.700079242	0.662189433	chr5	31280802	31280803	CDH6	NA	II
cg03724260	5.49E-08	-0.007	0.786	0.026131018	0.033249892	chr17	7387800	7387801	ZBTB4	Island	II
cg03725115	3.24E-07	-0.02	0.72	0.052608371	0.073088388	chr6	30458102	30458103	HLA-E	Island	I
cg03727754	1.04E-07	0.145	1.227	0.781512033	0.636701167	chr12	2564100	2564101	CACNA1C	NA	I
cg03729698	1.97E-08	-0.012	0.824	0.057750459	0.07006512	chr11	67770929	67770930	UNC93B1	Island	II
cg03747456	6.61E-08	-0.076	0.782	0.2725009	0.348415092	chr12	52586127	52586128	KRT80	NA	II
cg03748603	2.64E-07	-0.025	0.973	0.914660142	0.939940283	chr19	2494443	2494444	cg03748603	Island	I
cg03750587	3.24E-07	0.073	1.276	0.335829867	0.263149767	chr1	24239979	24239980	CNR2	NA	II
cg03754882	3.83E-14	-0.292	0.586	0.414470533	0.706869108	chr8	124688770	124688771	cg03754882	NA	II
cg03773163	5.53E-08	-0.03	0.748	0.089355186	0.11940915	chr1	148248171	148248172	cg03773163	S_Shore	II
cg03780073	3.86E-08	-0.007	0.846	0.037396138	0.044179846	chr15	48624255	48624256	DUT	Island	II
cg03785303	1.26E-08	-0.019	0.871	0.125035567	0.143597892	chr19	34396716	34396717	cg03785303	Island	II
cg03802383	1.70E-07	0.012	1.014	0.857085467	0.845542542	chr2	134347783	134347784	cg03802383	NA	II
cg03804148	8.43E-08	0.015	1.96	0.030422864	0.01552281	chr17	1465813	1465814	PITPNA	Island	I
cg03813437	3.27E-07	-0.014	0.791	0.054455078	0.068874087	chr2	65663839	65663840	cg03813437	Island	I
cg03816625	1.35E-08	-0.056	0.939	0.8623376	0.918819067	chr16	12192430	12192431	SNX29	NA	I
cg03818977	1.88E-07	-0.007	0.775	0.024719115	0.031882848	chr16	30032553	30032554	cg03818977	N_Shore	I
cg03820048	2.29E-08	-0.06	0.932	0.818945383	0.878614367	chr17	19921306	19921307	cg03820048	NA	II
cg03825255	2.09E-07	-0.019	0.979	0.862946467	0.881729425	chr2	234372469	234372470	DGKD	S_Shelf	II
cg03829194	1.01E-07	-0.112	0.872	0.759779742	0.8716536	chr16	875571	875572	cg03829194	Island	I
cg03838868	3.78E-08	-0.015	0.983	0.863952767	0.878790475	chr4	153897453	153897454	FHDC1	Island	II
cg03847716	3.66E-08	-0.028	0.71	0.068021923	0.095831362	chr22	30938483	30938484	cg03847716	Island	I
cg03848588	5.46E-08	-0.018	0.98	0.874379567	0.891991692	chr9	32525008	32525009	DDX58	N_Shore	II
cg03852570	1.66E-07	0.064	1.159	0.469727283	0.405413925	chr10	100175106	100175107	PYROXD2	NA	II
cg03866836	1.50E-07	0.022	1.027	0.832330092	0.810347167	chr11	123477197	123477198	GRAMD1B	NA	II
cg03873108	1.54E-08	-0.016	0.802	0.065663512	0.081831467	chr7	108167065	108167066	PNPLA8	Island	II
cg03876096	1.89E-08	-0.022	0.974	0.831233017	0.85357435	chr11	82399874	82399875	cg03876096	N_Shore	II
cg03881294	7.10E-08	-0.092	0.699	0.213690383	0.30568595	chr2	11884333	11884334	cg03881294	N_Shore	II
cg03883784	3.08E-07	-0.026	0.969	0.817739758	0.843563317	chr19	7680105	7680106	KIAA1543	Island	II
cg03888645	2.06E-07	0.084	1.115	0.813894608	0.7299107	chr22	41183474	41183475	SLC25A17	N_Shore	II
cg03900646	6.21E-08	-0.009	0.559	0.011637376	0.020826533	chr9	94712472	94712473	ROR2	Island	I
cg03905413	1.04E-08	-0.015	0.475	0.013996773	0.029450376	chr4	41883172	41883173	cg03905413	N_Shore	I
cg03915541	1.03E-07	0.018	1.021	0.881811583	0.863395033	chr1	6340443	6340444	ACOT7	N_Shore	II
cg03921896	4.72E-08	0.007	1.433	0.024267003	0.016930185	chr8	17781617	17781618	PCM1	S_Shore	II
cg03938525	2.34E-07	0.016	1.019	0.849998342	0.834060083	chr15	79262857	79262858	RASGRF1	NA	II
cg03948194	1.72E-08	-0.006	0.115	0.000821843	0.007134097	chr15	41836588	41836589	RPAP1	Island	I
cg03955175	2.59E-07	-0.007	0.745	0.02066275	0.027723099	chr7	128095977	128095978	C7orf68	Island	I
cg03955354	1.54E-07	-0.008	0.69	0.017974686	0.026038822	chr16	2925039	2925040	cg03955354	NA	I
cg03958512	1.70E-07	0.02	1.023	0.912660767	0.892555917	chr7	47443041	47443042	TNS3	NA	II
cg03959986	1.59E-09	0.197	9.026	0.221953583	0.024591187	chr17	2207236	2207237	SMG6	Island	I
cg03963853	1.46E-07	0.031	1.033	0.961553083	0.9304319	chr16	4732369	4732370	MGRN1	Island	I
cg03969956	1.50E-07	0.043	1.048	0.943735725	0.900481375	chr4	11884	11885	cg03969956	NA	I
cg03970350	1.02E-11	-0.044	0.58	0.060048803	0.103607243	chr22	31003010	31003011	TCN2	NA	II
cg03975188	1.92E-07	0.015	1.017	0.920003017	0.904994025	chr7	148131599	148131600	cg03975188	NA	I
cg03977231	2.20E-07	-0.005	0.86	0.030425621	0.035397109	chr9	115983636	115983637	FKBP15	Island	II
cg03979754	2.64E-07	0.043	1.11	0.437008183	0.393569892	chr8	110703460	110703461	GOLSYN	Island	II
cg03980408	7.98E-09	-0.094	0.853	0.54483505	0.638654108	chr20	1371904	1371905	FKBP1A	N_Shore	II
cg03984009	2.33E-07	-0.039	0.86	0.241401925	0.28054105	chr6	136172553	136172554	PDE7B	NA	II
cg03984859	2.28E-07	-0.011	0.623	0.018831803	0.030222753	chr1	165668066	165668067	ALDH9A1	S_Shore	II
cg03988279	2.17E-07	-0.013	0.425	0.009555815	0.022472995	chr1	36396364	36396365	EIF2C3	Island	I
cg03988527	2.34E-07	-0.006	0.65	0.011098546	0.017065701	chr2	102090979	102090980	RFX8	Island	I
cg04016485	3.29E-07	0.03	1.038	0.840137525	0.809713658	chr12	26244324	26244325	cg04016485	NA	II
cg04022537	2.27E-07	0.072	1.155	0.537878975	0.465865058	chr8	144650595	144650596	C8orf73	N_Shore	II
cg04025074	3.91E-08	-0.011	0.654	0.020941106	0.032038978	chr5	35229908	35229909	PRLR	NA	I
cg04026492	1.56E-07	-0.015	0.784	0.054836909	0.069940548	chr9	139024611	139024612	cg04026492	Island	II
cg04026937	1.60E-10	-0.615	0.075	0.049871367	0.664885558	chr6	32549361	32549362	HLA-DRB1	N_Shelf	II
cg04028540	1.23E-07	-0.351	0.594	0.513274517	0.863890717	chr8	125935564	125935565	cg04028540	NA	II
cg04035392	2.77E-07	-0.05	0.882	0.374612928	0.424657708	chr3	47866155	47866156	DHX30	N_Shore	II
cg04051365	3.26E-07	-0.048	0.943	0.800285017	0.848493292	chr3	193586394	193586395	cg04051365	N_Shore	II
cg04054303	9.83E-12	-0.466	0.401	0.311503808	0.777322983	chr6	32606445	32606446	HLA-DQA1	NA	II
cg04059980	5.68E-08	-0.04	0.955	0.836550008	0.876401425	chrX	99848987	99848988	TNMD	NA	II
cg04061752	8.00E-09	0.076	1.322	0.312517758	0.236422267	chr12	19350090	19350091	PLEKHA5	NA	II
cg04063345	1.43E-07	0.086	1.122	0.789915308	0.7042343	chr6	152130058	152130059	ESR1	S_Shore	II
cg04063936	1.02E-08	-0.028	0.966	0.806617	0.83509845	chr16	88810993	88810994	FAM38A	NA	II
cg04068111	2.54E-07	-0.09	0.626	0.150328967	0.240175308	chr13	44716778	44716779	cg04068111	S_Shore	II
cg04076613	2.26E-07	-0.033	0.962	0.846929583	0.880192583	chr12	49396120	49396121	PRKAG1	S_Shelf	II
cg04114143	2.18E-10	-0.009	0.846	0.049984009	0.059096948	chr12	52419282	52419283	cg04114143	S_Shore	II
cg04127587	4.51E-09	0.025	1.03	0.85823185	0.833431525	chr5	176829112	176829113	PFN3	N_Shore	II
cg04132264	1.41E-07	-0.011	0.737	0.032113768	0.04359626	chr11	575426	575427	LOC143666	N_Shore	I
cg04140614	2.21E-07	-0.009	0.815	0.037665392	0.046189478	chr2	96068327	96068328	FAHD2A	Island	II
cg04146405	2.54E-08	-0.01	0.988	0.868193508	0.87851255	chr20	60953667	60953668	cg04146405	Island	II
cg04148483	1.61E-07	-0.012	0.667	0.024729984	0.037090732	chr5	43484102	43484103	C5orf28	Island	I
cg04154027	2.00E-07	0.036	1.041	0.909629567	0.874021642	chr5	78985588	78985589	CMYA5	NA	I
cg04159905	4.81E-08	-0.009	0.829	0.044651007	0.053839247	chr5	691354	691355	TPPP	Island	II
cg04173211	1.19E-07	0.312	1.549	0.878801675	0.567283475	chr15	81489338	81489339	IL16	NA	I
cg04175739	1.79E-08	-0.028	0.76	0.087594683	0.115238258	chr2	47748042	47748043	KCNK12	Island	I
cg04182865	2.64E-07	-0.042	0.95	0.800838092	0.842748842	chr5	141346431	141346432	RNF14	N_Shelf	II
cg04198581	2.00E-07	-0.014	0.984	0.863366575	0.877557525	chr6	146289477	146289478	cg04198581	S_Shelf	II
cg04211581	5.76E-09	-0.049	0.678	0.102652874	0.151426567	chr6	152011656	152011657	ESR1	NA	II
cg04212500	2.01E-13	0.57	3.097	0.84200425	0.271839692	chr17	27184533	27184534	ERAL1	S_Shelf	II
cg04212979	7.65E-08	-0.006	0.815	0.024808519	0.030432023	chr17	63096635	63096636	cg04212979	N_Shore	II
cg04214938	2.49E-07	0.038	1.043	0.929272817	0.891160483	chr2	119496171	119496172	cg04214938	NA	I
cg04219700	7.27E-08	-0.009	0.871	0.060005087	0.068900112	chr1	228594657	228594658	TRIM11	Island	II
cg04222876	1.49E-07	-0.008	0.849	0.047272638	0.055713038	chr2	15701450	15701451	NBAS	Island	II
cg04225523	8.11E-12	-0.009	0.799	0.03531239	0.04422026	chr3	133292095	133292096	CDV3	N_Shore	II
cg04226062	3.18E-07	-0.018	0.98	0.883788558	0.902058625	chr6	159736958	159736959	cg04226062	Island	I
cg04231467	2.38E-07	0.006	1.425	0.020793653	0.01459258	chr5	180650194	180650195	TRIM41	Island	I
cg04237436	3.25E-07	-0.025	0.969	0.786563792	0.811655592	chr11	35808688	35808689	TRIM44	NA	II
cg04241501	2.83E-07	-0.011	0.828	0.054897611	0.066330553	chr5	126853924	126853925	PRRC1	Island	II
cg04249993	4.62E-08	0.021	1.026	0.843609042	0.822121433	chr13	49019949	49019950	LPAR6	NA	II
cg04267111	2.81E-07	-0.013	0.806	0.054481883	0.067589566	chr17	62341091	62341092	TEX2	S_Shore	II
cg04272710	6.05E-08	0.016	1.019	0.876063475	0.859886575	chr11	18211034	18211035	cg04272710	Island	II
cg04282419	8.90E-08	-0.016	0.853	0.095951448	0.112434525	chr11	110583662	110583663	ARHGAP20	Island	II
cg04284985	1.02E-07	-0.013	0.986	0.906340158	0.91903315	chr4	76859172	76859173	NAAA	N_Shore	II
cg04290350	1.61E-08	0.027	1.034	0.819685417	0.792795208	chr1	5922801	5922802	cg04290350	NA	II
cg04293725	2.00E-08	-0.055	0.77	0.184495533	0.239515458	chr5	93447600	93447601	FAM172A	S_Shore	I
cg04305677	3.13E-07	-0.009	0.703	0.021486109	0.030580949	chr7	2281541	2281542	NUDT1	Island	I
cg04322274	2.57E-08	-0.012	0.669	0.024810616	0.037110329	chr19	18717638	18717639	CRLF1	Island	I
cg04341153	4.58E-08	-0.012	0.455	0.009793807	0.021510043	chr1	2398858	2398859	cg04341153	Island	I
cg04343092	8.60E-08	-0.007	0.807	0.03029772	0.037521493	chr2	191273734	191273735	MFSD6	S_Shore	II
cg04344683	6.06E-09	0.035	1.047	0.791982975	0.756606667	chr1	43120097	43120098	CCDC30	N_Shelf	II
cg04350610	1.66E-07	0.01	1.218	0.054539448	0.044762947	chr10	93683445	93683446	BTAF1	Island	II
cg04362716	7.16E-08	0.028	1.042	0.706209142	0.677996842	chr2	128441417	128441418	cg04362716	NA	I
cg04362887	9.19E-09	-0.034	0.958	0.778887942	0.812773392	chr14	91285234	91285235	cg04362887	S_Shelf	II
cg04365202	2.30E-07	0.026	1.109	0.264058608	0.238172933	chr1	197889248	197889249	LHX9	N_Shore	II
