	R2.ESC.hapinfo.txt	R2.ipsNT.hapinfo.txt	R2.tissue.hapinfo.txt	Pvalue
chr2:168662966-168663152	0.908	0.394	0.051	2.01294930251056e-79
chr2:168671156-168671167	0.543	0.268	0.117	7.98647655692898e-98
chr2:168719766-168719801	0.46	0.162	0.306	2.8722341909039e-51
chr2:168719958-168719980	0.366	0.141	0.029	1.06519420957418e-50
chr2:168745735-168745752	0.078	0.161	0.444	1.92283617670145e-49
chr2:168751955-168751995	0.447	0.017	0.34	2.91958844579841e-96
chr2:168752061-168752125	0.253	0.174	0.151	3.3093910940815e-07
chr2:168752157-168752192	0.211	0.167	0.088	1.97758927757258e-13
chr2:168760758-168760916	0.392	0.28	0.067	1.20533256406557e-38
chr2:168760932-168760994	0.423	0.218	0.048	7.93497102099224e-100
chr2:168779053-168779077	0.552	0.334	0.042	1.46408606744308e-64
chr2:168781660-168781698	NA	NA	0.265	NA
chr2:168784923-168784942	0.411	0.326	0.084	1.37299414359729e-60
chr2:168785322-168785340	0.396	0.211	0.214	1.86104871897452e-19
chr2:168795257-168795269	0.577	0.341	0.287	2.85962016335793e-47
chr2:168795753-168795888	0.637	0.474	0.332	7.09116494491363e-47
chr2:168795939-168795993	0.52	0.43	0.115	2.07269494756136e-78
chr2:168805463-168805467	NA	0.218	0.427	0.0778477846788698
chr2:168813226-168813275	0.394	0.243	0.28	2.54971742143465e-10
chr2:168813390-168813418	0.169	0.157	0.165	6.70531063816084e-09
chr2:168832112-168832161	0.316	0.333	0.121	2.79510399904683e-11
chr2:168832247-168832276	0.437	0.449	0.053	1.57166375358155e-65
chr2:168834399-168834421	0.494	0.342	0.552	2.66542423569011e-13
chr2:169041202-169041233	0.598	0.315	0.482	7.98219811928618e-56
chr2:169341094-169341115	0.611	0.485	0.558	5.38418176598827e-13
chr2:169741008-169741066	0.531	0.399	0.153	1.4388596352279e-61
chr2:169741278-169741292	0.482	0.317	0.148	3.06138641614078e-51
chr2:169872497-169872548	0.516	0.358	0.264	5.15025109384316e-38
chr2:169898408-169898421	0.6	0.278	0.452	5.81473549927788e-60
chr2:169989837-169989859	0.668	0.42	0.427	6.34086407969143e-32
chr2:170032491-170032579	0.66	0.314	0.304	3.62733614850932e-39
chr2:170032942-170032978	0.312	0.28	0.437	1.73313749723476e-11
chr2:170330279-170330352	0.539	NA	0.184	2.62671995440569e-23
chr2:170355663-170355699	0.418	0.268	0.084	4.43894036023388e-49
chr2:172003041-172003053	0.613	0.407	0.172	5.12256063863409e-58
chr2:172702427-172702525	0.707	0.078	0.358	3.46514173060517e-55
chr2:173051279-173051309	0.404	0.217	0.131	8.99886484471296e-45
chr2:173052392-173052431	0.405	0.228	0.132	2.08543605430441e-43
chr2:173092018-173092051	0.484	0.082	0.755	8.08386974820091e-156
chr2:173109409-173109451	0.598	0.411	0.206	5.04641665119676e-42
chr2:173116188-173116235	0.505	0.622	0.086	6.32668251074114e-83
chr2:173427300-173427360	0.645	0.065	0.082	1.43737931340883e-86
chr2:173517251-173517483	0.431	0.732	0.394	1.75010333736661e-37
chr2:173583526-173583538	0.607	0.424	0.221	1.27321095559757e-72
chr2:173597390-173597468	0.653	0.504	0.368	2.51021378667805e-46
chr2:173911841-173911852	0.651	0.396	0.229	9.69209819861428e-49
chr2:173946492-173946513	0.32	0.301	0.09	1.73165603656254e-09
chr2:174109229-174109258	0.464	0.169	0.71	1.48222981454003e-65
chr2:174109868-174109912	0.315	0.294	0.671	1.82155579535103e-56
chr2:174110148-174110227	0.326	0.277	0.82	2.44989115224562e-73
chr2:174110238-174110263	0.341	0.13	0.688	3.92281704365615e-83
chr2:174110302-174110398	0.498	0.348	0.85	2.46566375239898e-60
chr2:174110440-174110500	0.406	0.028	0.79	1.63061954778154e-86
chr2:174110620-174110633	0.548	0.39	0.838	5.74040795236428e-09
chr2:174110792-174110876	0.764	0.03	0.819	1.87914031294345e-110
chr2:174110878-174110946	0.462	0.2	0.817	2.32857539755644e-28
chr2:174111361-174111422	0.131	0.133	0.63	7.28559944767762e-103
chr2:174111477-174111534	0.125	0.14	0.738	5.72712944243617e-145
chr2:174111555-174111633	0.085	0.033	0.77	1.11555627452034e-180
chr2:174111866-174111885	0.249	0.221	0.712	2.14721197072649e-102
chr2:174111995-174112074	0.073	0.264	0.754	9.15693127135188e-76
chr2:174112711-174112745	0.181	0.112	0.728	1.76515756666999e-151
chr2:174113241-174113320	0	0.002	0.592	3.79351072809414e-83
chr2:174119760-174119909	0.611	0.745	0.491	2.98333984299418e-46
chr2:174120041-174120196	0.505	0.74	0.48	3.0652357233728e-49
chr2:174120547-174120631	0.715	0.389	0.461	4.81772859464131e-24
chr2:174120640-174120718	0.614	0.814	0.726	6.32446601686524e-25
chr2:174120721-174120861	0.58	0.796	0.763	9.62709993172153e-35
chr2:174120881-174120953	0.671	0.692	0.767	2.28533795916204e-13
chr2:174120982-174121069	0.7	0.48	0.757	5.59192597219932e-43
chr2:174121111-174121132	0.582	0.823	0.806	1.49935178510422e-45
chr2:174121208-174121260	0.713	0.891	0.692	6.72248235457128e-61
chr2:174121554-174121613	0.534	0.58	0.819	6.06550709638655e-105
chr2:174121773-174121849	0.727	0.785	0.748	5.04869740419518e-09
chr2:174121936-174121952	0.671	0.635	0.689	0.0107549094946494
chr2:174122920-174123052	0.583	0.785	0.728	2.33924371371822e-77
chr2:174123075-174123122	0.554	0.795	0.692	1.95278948680059e-37
chr2:174123936-174124004	0.619	0.639	0.69	4.94905438966359e-14
chr2:174124051-174124114	0.583	0.693	0.74	2.27199773936676e-43
chr2:174124123-174124324	0.675	0.689	0.765	8.71331192978848e-31
chr2:174124327-174124414	0.647	0.59	0.676	6.58999211556641e-15
chr2:174124573-174124642	0.632	0.706	0.759	3.23018193754102e-31
chr2:174124651-174124839	0.617	0.646	0.76	3.72598870396809e-58
chr2:174124843-174124928	0.66	0.71	0.821	7.66572346639161e-54
chr2:174124992-174125050	0.499	0.526	0.691	2.11323497213338e-30
chr2:174125110-174125171	0.553	0.636	0.81	1.02766665674454e-55
chr2:174125173-174125203	0.45	0.756	0.692	6.80047829806891e-59
chr2:174125239-174125356	0.626	0.695	0.783	7.8189047999447e-40
chr2:174125382-174125429	0.541	0.699	0.775	2.00017409445657e-61
chr2:174125432-174125537	0.532	0.643	0.765	1.70662800791148e-75
chr2:174125551-174125656	0.615	0.61	0.793	2.92334222959445e-51
chr2:174125946-174126014	0.588	0.648	0.764	6.44422428659228e-43
chr2:174126056-174126120	0.634	0.684	0.787	7.11023421398355e-39
chr2:174126256-174126323	0.471	0.56	0.724	8.35253625266922e-55
chr2:174126368-174126400	0.562	0.676	0.711	2.77276865096303e-24
chr2:174152914-174152967	0.311	1	0.841	8.47081953749885e-94
chr2:174152995-174153079	0.294	0.663	0.773	3.86033913659082e-33
chr2:174153081-174153152	0.18	0.22	0.819	4.01132700354149e-69
chr2:174153189-174153336	0.272	0.049	0.798	1.716501130184e-109
chr2:174153375-174153455	0.1	0.102	0.896	1.68163279384172e-133
chr2:174153468-174153502	0.038	0.301	0.847	6.62569491289855e-118
chr2:174153518-174153528	0.075	0.148	0.942	1.42444296417256e-135
chr2:174153985-174154021	0.148	0.038	0.842	2.90085236959878e-192
chr2:174154112-174154124	0.092	0.026	0.787	3.24396320356074e-187
chr2:174154145-174154199	0.104	0.013	0.824	2.11241321391068e-202
chr2:174154201-174154242	0.204	0.08	0.843	1.9952848286116e-198
chr2:174154424-174154445	0.05	0.096	0.794	2.31029446309859e-157
chr2:174154457-174154481	0.027	0.025	0.721	1.42938296549924e-155
chr2:174154487-174154511	0.017	0.034	0.636	1.78416641232461e-139
chr2:174170889-174170917	0.622	0.371	0.074	3.79058776063055e-118
chr2:174471371-174471529	0.679	0.258	0.329	2.66523045423307e-44
chr2:175001092-175001169	0.026	1	0.142	3.45964329038791e-121
chr2:176870247-176870257	0.519	NA	0.106	3.1917502307533e-58
chr2:176870440-176870449	0.514	NA	0.082	4.67109629297939e-18
chr2:178371674-178371844	0.705	0.508	0.334	2.71715896090455e-30
chr2:179317851-179317860	0.545	0.233	0.587	1.37518822876011e-74
chr2:17953305-17953320	0	0.08	0.563	4.02865415138063e-65
chr2:17961546-17961579	0	0.001	0.331	5.44396605892513e-46
chr2:17961742-17961769	0.109	0.204	0.273	0.0642066604905411
chr2:17962091-17962171	0.145	0.001	0.474	1.30797278576149e-27
chr2:17962200-17962285	0.099	0.001	0.231	1.69376256044256e-08
chr2:17962330-17962360	0.019	0	0.116	1.02397857101707e-10
chr2:17962538-17962543	0.005	0.098	0.173	2.74007186823331e-33
chr2:17962564-17962648	0.067	0.196	0.355	8.28731622971871e-48
chr2:17962805-17962836	0.023	0.102	0.138	3.89775810200229e-16
chr2:17962915-17962976	NA	0.49	0.221	1.32162816293737e-45
chr2:179816587-179816801	0.748	0.302	0.125	2.72095786054261e-64
chr2:179959038-179959051	0.099	0.104	0.35	1.96285847640943e-11
chr2:180279932-180279951	0.59	0.542	0.535	0.00053737572675846
chr2:180280003-180280012	0.488	NA	0.602	2.26417592470298e-09
chr2:180702249-180702271	1	NA	NA	NA
chr2:18100867-18100888	0.575	NA	0.261	1.30873902185233e-30
chr2:181022556-181022575	0.412	0.226	0.621	3.82007799551948e-14
chr2:181022617-181022667	0.099	0.063	0.579	4.72437825904486e-48
chr2:181022714-181022722	0	NA	0.733	1.19351394637586e-87
chr2:181022743-181022789	0.196	0.047	0.642	1.01417053295709e-71
chr2:181022796-181022804	0.161	1	0.628	2.12485374356246e-28
chr2:181428489-181428509	NA	NA	0.774	NA
chr2:181631167-181631220	0.497	NA	0.053	4.30783228834916e-66
chr2:18599002-18599061	NA	0.682	NA	NA
chr2:19120860-19120877	0.542	0.41	0.546	8.92239065235606e-08
chr2:19120887-19120977	0.515	0.517	0.903	9.13226642199309e-22
chr2:19310580-19310613	0.517	0.217	0.612	2.6237975579129e-85
chr2:19527334-19527388	0.635	0.314	0.209	7.22384044745348e-39
chr2:20448785-20448978	0.66	0.648	0.133	2.52319904616105e-22
chr2:20575696-20575712	0.172	0.031	0.35	1.10377900948185e-58
chr2:20576546-20576598	NA	0	0.107	3.84189990599614e-31
chr2:20594145-20594179	0.508	0.371	0.248	9.43595822242717e-42
chr2:20631056-20631079	0.748	0.022	0.127	2.19456385930193e-160
chr2:20635352-20635525	0.821	0.108	0.201	2.28058940886707e-97
chr2:20658956-20659012	0.355	0.23	0.693	3.43026355891943e-73
chr2:20659125-20659170	0.489	0.202	0.661	4.63797049225275e-84
chr2:20788603-20788659	0.637	0.147	0.026	1.6273969696154e-139
chr2:22755515-22755543	0.495	0.374	0.057	1.00120550680151e-89
chr2:24242215-24242255	0.493	0.293	0.755	1.98900640806157e-85
chr2:25118569-25118589	0.888	NA	NA	NA
chr2:25993996-25994014	0.167	0.057	0.38	3.58408570824692e-69
chr2:26316365-26316416	0.262	0.227	0.044	1.33684338613006e-42
chr2:27193285-27193331	0.576	0.046	0.241	5.26217472666804e-84
chr2:27244590-27244691	0.775	0.135	0.317	3.56118892299137e-55
chr2:27282503-27282512	1	NA	NA	NA
chr2:27555547-27555654	0.544	0.292	0.673	1.66559510063821e-40
chr2:28257409-28257437	0.599	0.176	0.514	1.05771454715651e-66
chr2:28324425-28324462	0.245	0.112	0.037	1.25692028395304e-31
chr2:28325054-28325087	0.482	0.441	0.143	5.69123771806192e-56
chr2:28760520-28760656	0.653	0.717	0.106	4.33488356364307e-93
chr2:29324099-29324115	0.563	0.138	0.686	5.26116237343049e-118
chr2:29381671-29381802	0.701	0.254	0.304	7.34839320027253e-57
chr2:29541052-29541063	0.589	0.201	0.138	8.72211854578607e-45
chr2:29651028-29651041	0.563	0.24	0.06	1.63593403884133e-75
chr2:29917685-29917703	0.687	NA	0.001	5.74714678339699e-52
chr2:29917773-29917791	0.798	NA	NA	NA
chr2:30325455-30325483	NA	NA	1	NA
chr2:3036037-3036067	NA	NA	0.663	NA
chr2:3036087-3036106	NA	NA	1	NA
chr2:30403154-30403186	0.472	0.137	0.492	2.52693857398289e-73
chr2:30616013-30616021	0.469	0.27	0.469	1.60440133053891e-35
chr2:30916419-30916475	0.239	0.265	0.312	0.0123039011531738
chr2:30916694-30916841	0.547	0.36	0.726	6.52356771064385e-29
chr2:30916845-30916906	0.323	0.378	0.614	1.33071734646269e-23
chr2:30916999-30917070	0.434	0.129	0.744	7.0362645641879e-93
chr2:31024549-31024624	0.498	0.557	0.218	1.61811604218593e-35
chr2:31024705-31024748	0.505	0.229	0.397	5.35921388156224e-22
chr2:31160680-31160937	0.843	0.827	0.321	4.81925956012566e-24
chr2:31275441-31275488	0.588	0.19	0.236	1.24921104171158e-57
chr2:31309415-31309587	0.884	0.389	0.538	1.67168072356852e-61
chr2:31407688-31407696	0.611	0.344	0.177	3.84059603048334e-82
chr2:31429468-31429487	0.136	0.257	0.202	2.69193543334e-10
chr2:31526128-31526206	NA	NA	1	NA
chr2:31615679-31615732	NA	NA	0.65	NA
chr2:32030289-32030310	0.32	0.432	0.609	0.000285964449675558
chr2:32308430-32308452	0.395	0.35	0.422	2.90801837598497e-10
chr2:32467835-32467851	0.043	0.189	0.065	1.21692645288254e-31
chr2:32468026-32468049	0	0.082	0.238	6.94625028947421e-05
chr2:32568563-32568590	1	NA	NA	NA
chr2:32597040-32597074	0	0.001	0.696	1.12404148403665e-95
chr2:32597100-32597147	0.496	0.08	0.769	4.24551654440022e-26
chr2:32597261-32597289	0	NA	0.686	1.21955899242722e-61
chr2:32597660-32597703	0.032	0.001	0.765	2.14523350982006e-116
chr2:32597929-32597941	0	0.083	0.655	4.79676565451079e-57
chr2:32597995-32598032	0	0.052	0.77	1.214539351544e-134
chr2:32607086-32607097	0.078	0.179	0.656	1.06875140513404e-60
chr2:32702711-32702721	1	NA	NA	NA
chr2:32880419-32880451	0.691	0.175	0.255	3.92502452538737e-91
chr2:33033405-33033413	0.663	0.105	0.595	7.43288277761842e-95
chr2:33085994-33086136	0.52	0.233	0.428	4.41253690409772e-11
chr2:33641371-33641387	0.64	0.275	0.702	1.75435898844378e-77
chr2:33882357-33882380	0.698	0.458	0.33	5.22057372489882e-39
chr2:34892046-34892067	0.614	0.306	0.221	2.64085844249431e-44
chr2:35192552-35192572	1	NA	NA	NA
chr2:35288468-35288509	0.79	0.25	0.649	1.07857348189058e-84
chr2:35297561-35297685	0.656	0.197	0.487	5.86197683414219e-52
chr2:35346768-35346842	0.344	0.75	0.545	1.47257418234542e-58
chr2:35346883-35346922	0.141	NA	0.272	4.08724578907894e-18
chr2:35346924-35346988	0.239	0.343	0.114	5.88600152830762e-88
chr2:35351241-35351308	0.569	0.277	0.534	4.35132118507514e-26
chr2:35548687-35548700	0.682	0.471	0.498	1.8675165741505e-32
chr2:35946767-35946787	NA	NA	0.65	NA
chr2:35946872-35946895	0	0	0.692	5.24814204974786e-67
chr2:35947155-35947159	0	NA	0.714	5.13159194147301e-49
chr2:35947212-35947234	0	NA	0.674	4.87354813746342e-37
chr2:3643976-3644033	0.693	0.141	0.364	1.34593666230244e-97
chr2:37642221-37642231	0.243	0	0.609	4.55720564101277e-24
chr2:37642303-37642320	0.033	0.037	0.754	4.00754527809909e-187
chr2:37837456-37837473	0.659	0.128	0.511	7.64051444624022e-139
chr2:3827776-3827799	0.574	0.206	0.383	8.14769434538012e-64
chr2:43594328-43594374	0.615	0.079	0.473	2.79621203607934e-23
chr2:44173718-44173742	0.624	0.08	0.377	8.55352911629638e-72
chr2:4442886-4442901	0.594	0.28	0.001	1.15712980507533e-89
chr2:4442925-4443056	0.548	0.469	0.027	9.16223332079795e-85
chr2:4443093-4443212	0.587	NA	0.068	3.55452504046474e-65
chr2:4443253-4443290	0.474	NA	0	2.85837937689717e-124
chr2:4443395-4443432	0.606	NA	0.033	2.20444059463865e-108
chr2:4450437-4450595	0.565	0.346	0.499	3.22450335138922e-10
chr2:44772739-44772880	0.538	0.3	0.187	1.37426419812693e-32
chr2:44844453-44844462	0.557	0.29	0.403	2.80109729063218e-31
chr2:4488483-4488496	0.822	0.141	0.132	4.24331190985485e-125
chr2:45153916-45154031	0.716	0.359	0.29	1.84682673003011e-60
chr2:4515618-4515647	0.625	0.159	0.17	1.61498672982864e-82
chr2:46299246-46299274	0.517	0.136	0.535	6.14439292650963e-62
chr2:4959031-4959066	0.562	NA	0.007	2.39550753745279e-136
chr2:50733498-50733518	0.535	0.229	0.711	2.99069915734657e-102
chr2:50922165-50922179	0.608	0.287	0.552	3.36268176329777e-58
chr2:51906463-51906481	0.674	0.177	0.631	2.23921061451043e-91
chr2:52251006-52251277	0.737	0.543	NA	8.920897174155e-12
chr2:52425811-52425842	0.727	0.27	0.586	1.08403429740441e-63
chr2:52425902-52425917	0.618	0.281	0.567	9.19519768244337e-61
chr2:52475286-52475298	0.467	0.182	0.702	3.89910667840468e-106
chr2:52987772-52987788	0.642	0.192	0.268	4.46287667655046e-92
chr2:5497360-5497610	0.848	0.425	0.171	1.76843160172792e-43
chr2:5503695-5503738	0.564	NA	0.247	5.60757058562598e-23
chr2:5525123-5525141	0.484	NA	0.39	5.21950189475197e-09
chr2:5718505-5718519	0.655	0.39	0.254	1.79388110323684e-67
chr2:5722052-5722093	0.693	0.311	0.1	3.151245089435e-78
chr2:5732160-5732177	0.497	0.051	0.239	7.83455549046787e-65
chr2:5762298-5762425	0.711	0.135	0.204	1.2966804735678e-77
chr2:57709318-57709331	0.615	0.416	0.571	3.54885185538051e-18
chr2:58288125-58288133	0.537	0.125	0.619	2.22003447997501e-59
chr2:58288185-58288197	0.604	0.196	0.499	2.66843628927667e-39
chr2:58341036-58341076	0.554	0.033	0.487	7.83470310987646e-61
chr2:58366888-58366938	0.633	0.21	0.106	1.0814651936124e-121
chr2:58366952-58367031	0.553	0.116	0.338	3.30664701220529e-32
chr2:58401511-58401540	0.688	0.113	0.577	7.5778667439482e-136
chr2:5847006-5847112	0.674	0.172	0.002	1.83447455447207e-70
chr2:58647051-58647059	0.689	0.091	0.635	5.47660521764029e-110
chr2:58759608-58759640	0.606	0.134	0.445	2.43237464884427e-86
chr2:59007840-59007857	0.573	0.386	0.614	4.32711389736283e-29
chr2:59024320-59024337	0.664	0.363	0.411	1.9799096884282e-37
chr2:59068954-59068972	0.238	0.299	0.367	1.421554625705e-11
chr2:59070371-59070395	0.351	0.396	0.145	2.4385696233888e-12
chr2:59078995-59079235	0.705	0.236	NA	1.25351835269756e-15
chr2:59104545-59104589	0.638	0.347	0.02	1.4348304700403e-159
chr2:59221221-59221255	0.482	0.292	0.09	4.96816628749603e-80
chr2:59221357-59221402	0.517	0.35	0.129	5.65418061021452e-70
chr2:59221449-59221497	0.491	0.396	0.062	1.17367308396576e-58
chr2:59221634-59221639	0.626	0.146	0.073	6.72980258887273e-93
chr2:59221775-59221834	0.646	0.309	0.058	3.90326837614478e-130
chr2:59245605-59245673	0.493	0.431	0.566	3.37120312923826e-10
chr2:59438428-59438435	0.664	0.179	0.588	2.62881155378882e-83
chr2:59438634-59438650	0.485	0.24	0.574	1.38784415725769e-44
chr2:59486533-59486599	0.026	0.598	0.261	1.33730678854507e-68
chr2:59486710-59486755	0.007	0.44	0.241	1.30737460521591e-61
chr2:59495737-59495775	0.301	NA	0.188	0.0112619842299532
chr2:59672643-59672660	0.627	0.158	0.067	4.44825052680516e-69
chr2:59681405-59681441	0.607	0.496	0.236	9.72685833963924e-53
chr2:59716232-59716280	0.32	0.072	0.535	2.66068449681152e-77
chr2:59716350-59716371	0.163	0.173	0.445	3.74706390642481e-45
chr2:59758493-59758507	0.686	0.307	0.118	1.59958034333112e-74
chr2:59837171-59837198	0.706	0.154	0.071	8.04308917450767e-71
chr2:59870775-59870913	0.579	0.154	0.254	1.52113909034554e-28
chr2:59888639-59888670	0.447	0.321	0.105	7.15331129568371e-61
chr2:59973008-59973049	0.631	NA	0.177	1.53929986191337e-60
chr2:60113573-60113592	0.448	NA	0.131	6.82252512812863e-08
chr2:60214038-60214093	0.329	0.537	0.201	1.49235444700504e-61
chr2:60214104-60214127	0.527	0.405	0.236	3.33994929483348e-33
chr2:6021520-6021544	0.208	0.052	0.668	5.35074478738204e-66
chr2:6021551-6021590	0.218	0	0.664	3.37789800686149e-108
chr2:6021610-6021658	0.518	0.08	0.659	2.19209150462748e-28
chr2:6022995-6023023	0.626	0.24	0.121	3.82943943466893e-106
chr2:60244788-60244847	0.611	0.239	0.394	3.67030828075363e-65
chr2:60555555-60555575	0.354	0.338	0.646	9.63749723402311e-63
chr2:60639322-60639359	0.604	0.111	0.622	1.26909780214359e-119
chr2:62229072-62229077	0.558	0.084	0.602	3.95063227339903e-68
chr2:62307689-62307701	0.563	0.241	0.584	6.59914076696069e-65
chr2:6307326-6307336	0.672	0.003	0.293	2.33453689532052e-118
chr2:6399465-6399479	0.561	0.274	0.396	2.28833361737657e-34
chr2:64706768-64706776	0.759	0.334	0.163	3.6082102448775e-49
chr2:65071362-65071375	0.583	0.305	0.629	8.75572961855419e-50
chr2:65665166-65665179	0.64	0.2	0.461	3.31714853754011e-95
chr2:65749342-65749362	0.583	0.372	0.084	2.99847006852953e-99
chr2:65792241-65792309	0.618	0.2	0.408	1.06189154220453e-43
chr2:65817580-65817692	0.511	0.224	0.361	3.33436460648943e-11
chr2:66018501-66018511	0.516	0.339	0.578	9.49026029198015e-28
chr2:6637650-6637921	0.526	0.545	0.498	0.02927805006742
chr2:68052604-68052612	0.67	0.097	0.525	1.77868703618683e-131
chr2:68147879-68148051	0.71	0.174	0.211	4.00033129110249e-50
chr2:68226084-68226100	0.659	0.146	0.501	4.05518163283118e-70
chr2:68246524-68246550	0.601	0.156	0.622	1.11232523722626e-108
chr2:68309463-68309477	1	NA	NA	NA
chr2:68676420-68676668	0.807	0.124	0.149	1.69214702865364e-98
chr2:68771773-68771805	0.659	0.293	0.108	3.02608238662023e-100
chr2:68951071-68951123	0.554	0.105	0.058	2.86619847743103e-55
chr2:68973891-68973912	0.622	0.239	0.579	4.41039252229508e-84
chr2:69002433-69002442	0.652	0.201	0.046	1.96285385426964e-83
chr2:69485263-69485268	NA	NA	1	NA
chr2:69508573-69508599	0.667	0.057	0.184	2.86499629582868e-87
chr2:69604365-69604375	0.392	NA	0.006	3.68960678124619e-88
chr2:69604382-69604411	0.414	NA	0.072	9.15030959725723e-57
chr2:69604519-69604557	0.427	NA	0.219	1.11255177895715e-12
chr2:69987341-69987358	0.294	0.271	0.212	6.75079019093065e-05
chr2:70178424-70178497	0.503	0.293	0.195	8.74647601114914e-28
chr2:70178690-70178778	0.574	0.544	0.135	1.40195229867832e-45
chr2:70503901-70503933	0.552	0.151	0.273	1.03330662916473e-28
chr2:70528979-70528994	0.478	0.146	0.075	1.52036595413843e-85
chr2:70776646-70776657	0.646	0.419	0.422	1.2020331148611e-32
chr2:70776903-70776928	0.631	0.401	0.31	1.11148075412756e-48
chr2:70911240-70911250	0.717	0.168	0.078	3.84568671972463e-118
chr2:71081271-71081464	0.817	0.315	0.2	9.70163163019295e-30
chr2:71102728-71102737	0.555	0.048	0.286	1.37661544445829e-21
chr2:71185194-71185268	0.587	0.324	0.136	1.83145849866835e-76
chr2:71186391-71186474	0.537	0.512	0.267	3.18910280457585e-32
chr2:71250723-71250773	0.53	NA	0.033	1.50818930212086e-54
chr2:71327589-71327651	0.686	0.175	0.048	7.56970653857281e-99
chr2:71327672-71327718	0.659	0.153	0.102	1.87953797639332e-124
chr2:71485975-71485989	0.489	0.237	0.153	8.97117616021275e-61
chr2:71488325-71488362	0.416	0.297	0.287	1.13916511096743e-16
chr2:71583403-71583423	NA	0.521	0.365	4.26722710544664e-15
chr2:71584188-71584246	0.376	0.163	0.117	3.01718819534354e-24
chr2:71587827-71587833	0.445	0.204	0.318	4.35902434343693e-11
chr2:71588392-71588457	0.481	0.32	0.631	6.3583704545877e-67
chr2:71589591-71589610	0.657	0.57	0.323	9.5579397095026e-47
chr2:71859067-71859086	0.507	0.293	0.149	1.86708754378114e-70
chr2:72077190-72077221	0.502	0.238	0.581	1.43497049627303e-41
chr2:72135880-72135891	0.475	0.223	0.635	1.31351891367709e-71
chr2:72162538-72162565	0.562	0.339	0.633	2.47487851240267e-25
chr2:72217345-72217357	0.658	0.059	0.309	9.53955421278321e-93
chr2:72286052-72286065	0.651	0.118	0.231	6.94029525423187e-91
chr2:72319800-72319834	0.535	NA	0.286	6.20669451165467e-17
chr2:72372702-72372743	0.557	0.112	0.002	9.31083794611877e-130
chr2:72471962-72471982	0.427	1	0.829	3.22909460568256e-120
chr2:72472355-72472367	0.495	0.417	0.072	3.31754440531473e-57
chr2:72669468-72669519	0.532	0.311	0.009	2.16558556987404e-96
chr2:72793922-72793946	0.571	0.216	0.046	1.63788032582195e-88
chr2:73074849-73075105	0.693	0.224	0.113	3.33728028604641e-127
chr2:73334146-73334174	0.546	0.085	0.576	1.8662969768167e-113
chr2:73498115-73498128	0.61	0.209	0.532	1.62244684071258e-87
chr2:74810660-74810816	0.696	0.494	0.015	8.65246788809754e-87
chr2:75470747-75470793	0.672	0.338	0.532	1.94452131671969e-57
chr2:75521180-75521347	0.641	0.358	0.555	0.000591100385058689
chr2:75779416-75779420	0.534	0.119	0.451	8.87912779029691e-08
chr2:75816133-75816153	0.065	NA	0.383	5.36038998632421e-15
chr2:75819163-75819184	0.333	NA	0.248	3.68236618893962e-05
chr2:76645080-76645105	0.473	0.46	0.088	2.72821805940736e-63
chr2:76651057-76651079	0.703	0.14	0.012	2.56756828132978e-149
chr2:76790045-76790066	0.588	0.227	0	7.89028547260518e-96
chr2:76933848-76933874	0.649	0.091	0.033	3.1014989969216e-95
chr2:76970261-76970331	0.67	0.357	0.289	9.08886365017482e-28
chr2:77006022-77006116	0.642	0.432	0.302	2.48539937621712e-48
chr2:77006421-77006447	0.48	0.385	0.207	1.09302438582635e-60
chr2:77151924-77151974	0.589	0.604	0.031	4.50874271512647e-138
chr2:77173406-77173444	0.491	1	0.02	7.22884031551225e-98
chr2:77325216-77325243	0.623	0.314	0.164	1.59391673018014e-61
chr2:77357512-77357524	0.638	0.228	0.153	1.70184009222423e-75
chr2:77541199-77541224	0.608	0.158	0.496	4.89213115264092e-69
chr2:77556955-77556963	0.643	0.278	0.411	5.2183369915135e-45
chr2:77784003-77784011	0.819	0.634	NA	5.95170422197679e-21
chr2:77784054-77784066	0.737	0.325	0	8.10131851364061e-72
chr2:80442992-80443030	0.167	NA	0.047	2.40475557784093e-13
chr2:80443096-80443119	0.194	NA	0.115	6.22577258126209e-11
chr2:83595361-83595523	0.705	0.108	0.034	3.89597360789606e-70
chr2:84221177-84221185	0.486	0.159	0.633	9.55946683888975e-71
chr2:84227943-84227956	0.457	0.042	0.681	6.66859758402145e-91
chr2:84314100-84314141	0.508	0.283	0.288	4.34810551868898e-27
chr2:84426526-84426553	0.425	0.304	0.111	2.65508132905623e-41
chr2:84426625-84426718	0.554	0.464	0.086	1.44690809071727e-97
chr2:84433224-84433336	0.487	0.313	0.716	3.81344667624078e-35
chr2:84464487-84464504	0.408	0.33	0.067	1.82739494280594e-68
chr2:84464538-84464597	0.493	0.26	0.033	2.65433180507645e-59
chr2:84615123-84615154	NA	NA	0.602	NA
chr2:84615168-84615202	0	0.001	0.575	6.10548812093466e-58
chr2:84651182-84651196	0.376	0.468	0.297	2.41946540927257e-16
chr2:84878688-84878700	0.365	0.163	0.275	1.3162804411389e-34
chr2:84880810-84880826	0.644	0.093	0.001	8.9401855807448e-128
chr2:87357292-87357350	0.662	0.228	0.016	3.07495498273139e-81
chr2:87366341-87366375	0.311	0.16	0.569	4.80769071816874e-06
chr2:87372680-87372872	0.591	NA	0.36	1.53111616386477e-14
chr2:90316589-90316609	0.455	0.219	0.275	4.66576849732646e-25
chr2:90744597-90744635	1	NA	NA	NA
