	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
Block_389	18	77264196	78012216	0.00548560190125257	0.504675374915237	207	131731	131822	92	1186	0.00458162826695687	0.268	0.123803347768941	0.836
Block_390	7	121245411	122097744	0.00601191096636804	0.348690836049346	102	260709	260766	58	435	0.00252933708013129	0.268	0.18646282893184	0.944
Block_391	13	81687260	83799196	0.00630689279039407	0.271196389986945	169	80067	80109	43	923	0.0021119219234888	0.272	0.240249753402058	0.98
Block_392	13	45140260	45771099	0.00544703801065867	0.484786382948622	165	77722	77810	89	3958	0.00498662035346119	0.274	0.129910529048865	0.854
Block_393	14	31770214	33409651	0.00500352943950337	0.765540004244016	172	84082	84234	153	1895	0.00797561102870475	0.278	0.0730600754825742	0.722
Block_394	3	142499641	144493973	0.0048259146507773	0.863838722489137	50	194608	194786	179	2947	0.0095781870765286	0.28	0.0618942200423875	0.686
Block_395	4	91666383	95612104	0.00492160142561872	0.80714263380147	60	207786	207949	164	4676	0.00874584137727125	0.284	0.0679591628838418	0.704
Block_396	6	74238761	75284781	0.00580211811044515	0.37133555906849	80	240701	240764	64	535	0.00329708281467015	0.284	0.174693212282938	0.928
Block_397	4	48145379	48385257	0.00649802099469853	0.227430734814449	58	204844	204878	35	246	0.00186842974878068	0.286	0.281921699873533	0.988
Block_398	13	74702420	76509957	0.00480414460473925	0.835921161224629	169	79524	79697	174	923	0.0101074098644146	0.292	0.0648086722968021	0.692
Block_399	9	78193374.5	79678820	0.00518168924325695	0.601075952217806	132	282806	282921	116	2462	0.00686250394432477	0.298	0.0999709300158767	0.788
Block_400	14	90367327	91890999	0.00447347698315723	1.24810007830087	175	90124	90402	279	8200	0.0116230244212713	0.3	0.0365114031360798	0.54
Block_401	13	46536976	48839456	0.00450623663710248	1.18063399892085	165	77916	78177	262	3958	0.0117373166665424	0.302	0.0395997783724287	0.56
Block_402	1	90802339	92421204	0.00496880185839594	0.725445071325807	4	12709	12854	146	1796	0.00877814135963049	0.304	0.0785411340275345	0.736
Block_403	16	34337336	35135395	0.00609944865865609	0.286674086956836	195	107556	107602	47	49	0.00269580621998276	0.306	0.227829167877916	0.974
Block_404	11	5905350	6846765	0.00502242628386287	0.652915416902174	148	44646	44775	130	3186	0.00855701071117107	0.308	0.0899504816424293	0.772
Block_405	7	107843307	108767676	0.00582995288629298	0.349797173177579	101	259794	259853	60	1382	0.00336416739341627	0.308	0.185908760003677	0.942
Block_406	5	58463938	60132467.5	0.00477228114257701	0.806515513095514	67	219630	219798	169	1316	0.0109472094057549	0.31	0.0680138243924498	0.704
Block_407	13	64030064	66187455	0.00620440615957597	0.260585058702191	167	79112	79153	42	265	0.00254176015026946	0.318	0.249442825304303	0.986
Block_408	12	33516035	34759279	0.00538056929101164	0.430445543280932	159	63749	63828	80	80	0.00603512747312269	0.32	0.148592341922644	0.892
Block_409	12	64271616	65707425	0.004666723812575	0.863343905326374	163	66659	66843	185	1012	0.0122963548227601	0.322	0.0619414277089126	0.686
Block_410	2	171156583	172455261.5	0.00480437908549102	0.75428751642209	35	155179	155335	157	5305	0.0109049709672851	0.324	0.0745433900570716	0.728
Block_411	17	28242367	29482914	0.0051272668741695	0.579381156781154	199	117479	117591	113	1194	0.00772714962594136	0.324	0.104542619826723	0.798
Block_412	6	101404821	102516590	0.00635832153491342	0.22254125372197	84	242240	242274	35	304	0.00233553718597584	0.324	0.287372943050162	0.99
Block_413	7	124520401	125311038	0.00664993242926392	0.212797837736445	102	260951	260982	32	435	0.00181625285420036	0.324	0.298466744683547	0.992
Block_414	2	191064776	193179883	0.00431152603200705	1.29345780960211	35	156943	157242	300	5305	0.0137647617130917	0.328	0.0345510426682767	0.532
Block_415	6	128175426	131292648	0.00429315067389273	1.33516985958064	87	244387	244697	311	6089	0.0136206540994889	0.33	0.032784482094629	0.518
Block_416	15	85186502.5	85850720	0.00499304323364457	0.609151274504638	186	101257	101378	122	2546	0.00939681025251132	0.334	0.0982217617404224	0.786
Block_417	1	225332226	227141293	0.00425552293257962	1.35325629256032	19	25024	25341	318	5331	0.0139685000633577	0.336	0.0321161209211955	0.512
Block_418	4	155894872	158093379	0.00478627266399913	0.717940899599869	61	212053	212202	150	2259	0.0115956936669673	0.336	0.0797262949187159	0.74
Block_419	18	18637322	19344185	0.00573224509563056	0.321005725355311	204	126937	126992	56	676	0.00417166695239728	0.338	0.203472496565021	0.954
Block_420	1	146963327	147384851	0.00546457382178485	0.37159101988137	12	15635	15702	68	89	0.00579908914049747	0.342	0.174583889265722	0.928
Block_421	13	114756234	115094006	0.00565010510250823	0.339006306150494	171	82872	82931	60	60	0.00455926674070816	0.344	0.192060664336099	0.948
Block_422	8	78815126	79448207	0.00692707917464835	0.180104058540857	113	272588	272613	26	401	0.00155288376727117	0.344	0.340816990784567	0.998
Block_423	12	72264347	72964586	0.00564747135210446	0.338848281126268	163	67594	67653	60	1012	0.00457914365292924	0.346	0.192155079669149	0.948
Block_424	4	148802158.666667	151464300	0.00454795765532232	0.868659912166563	61	211330	211520	191	2259	0.0145797151141556	0.348	0.0614122049210265	0.686
Block_425	1	89639637	90448216	0.00489101868212978	0.66028752208752	4	12558	12692	135	1796	0.0105124019509189	0.352	0.0886659361901425	0.766
Block_426	6	111748098	112465504	0.00462645303848679	0.763364751350321	86	243159	243323	165	1290	0.0144356075005528	0.356	0.0733458060957521	0.722
Block_427	12	14417999	15907517	0.0045689622395185	0.804137354155256	158	61974	62149	176	4166	0.0151437224984285	0.362	0.0682771934793789	0.704
Block_428	3	106849749	107886359	0.00484925331630758	0.635252184436293	49	190528	190658	131	1516	0.0114242552990606	0.366	0.0931730260362704	0.774
Block_429	6	86324495	87808954	0.00587672176275497	0.264452479323974	81	241385	241429	45	989	0.0039753824442142	0.37	0.246101019437136	0.986
Block_430	1	98675115	100466747	0.00482916437580777	0.622962204479202	4	13487	13615	129	1796	0.011943539630836	0.372	0.0955657093448818	0.782
Block_431	4	138046216	139964009	0.00452680609531862	0.792191066680758	61	210346	210520	175	2259	0.0162692526529466	0.376	0.0696288235104118	0.708
Block_432	3	101502932	102914386	0.00485313664115116	0.611495216785047	48	190198	190323	126	655	0.0116404167194647	0.376	0.0978142850398905	0.786
Block_433	6	100744362	101008489	0.00685577399008984	0.171394349752246	84	242202	242226	25	304	0.00174668366142662	0.376	0.353997868201164	0.998
Block_434	14	39579273	42300132	0.0052315518618774	0.392366389640805	172	84752	84826	75	1895	0.00817686476494309	0.38	0.164563440892275	0.916
Block_435	3	150212912	150864287	0.00518067451453143	0.419634635677046	51	195295	195375	81	1670	0.00847998767631442	0.384	0.152823639611705	0.898
Block_436	11	95701960	96022822	0.00520771568504457	0.406201823433476	155	54641	54718	78	610	0.00834333390479456	0.384	0.158414021173881	0.906
Block_437	7	77894058	78923127	0.0054345136831067	0.336939848352616	98	257011	257072	62	643	0.00653205027864946	0.384	0.193347694402413	0.95
Block_438	7	76883565	77130482	0.00573304993511306	0.28091944682054	98	256879	256927	49	643	0.00474064356472544	0.386	0.232385950004597	0.978
Block_439	3	121571338	122329499	0.00500481196171959	0.515495632057118	50	191885	191987	103	2947	0.0102589713201003	0.388	0.120672734094122	0.832
Block_440	7	88964363	89637491	0.00985706032514705	0.0689994222760293	100	257691	257697	7	1478	0.000718053453986191	0.388	0.598459042380061	1
Block_441	10	31747241	32707038	0.00470341851586304	0.630258081125648	137	32109	32242	134	2154	0.0145026920792989	0.392	0.0941072409106607	0.778
Block_442	13	48974707	49721418	0.00497147792928455	0.541891094292016	165	78183	78291	109	3958	0.0105422173192505	0.392	0.113599037957448	0.82
Block_443	3	153778467	154876455	0.00527753155871217	0.369427209109852	51	195737	195806	70	1670	0.007906041835931	0.394	0.175649788683577	0.928
Block_444	3	33773450.5	34939069	0.00526192545871651	0.368334782110155	38	184110	184179	70	3566	0.00809735711605881	0.396	0.176114411506744	0.928
Block_445	8	110116031	111362564	0.00518987110518076	0.373670719573014	116	275323	275394	72	2224	0.00901914892031097	0.398	0.173624828251055	0.928
Block_446	8	68623427	70699475	0.0044573596728996	0.744379065374233	112	271825	271991	167	2217	0.0189153665923767	0.4	0.0759819815790716	0.734
Block_447	4	48798400	49519997	0.00635964660719123	0.203508691430119	58	204931	204962	32	246	0.00277779848289467	0.4	0.310097222946901	0.994
Block_448	10	52549004	52697405	0.00714398659489188	0.135735745302946	143	33699	33717	19	318	0.00162245296004492	0.4	0.416731887784892	1
Block_449	4	159367575	160173042.5	0.00494562587550189	0.519290716927699	61	212274	212378	105	2259	0.0112453630890709	0.402	0.119654042342792	0.83
Block_450	3	100480614	100951841	0.00538103485879623	0.333624161245366	48	190104	190165	62	655	0.00716065762764083	0.404	0.195352777922714	0.95
Block_451	14	48259163	48613475	-0.0110268769930943	0.0551343849654715	174	84984	84988	5	41	0.000727991910096726	0.408	0.653860965968242	1
Block_452	6	27150638	28738289	0.00422381238348838	0.916567287216978	74	235748	235964	217	4853	0.0214099190761211	0.41	0.056957291969479	0.664
Block_453	13	67013293	67570127	0.00629893155594163	0.201565809790132	168	79175	79206	32	109	0.00300886758746463	0.414	0.312457606273153	0.994
Block_454	14	51208379	53361919	0.00388433611191961	1.29348392526923	175	85172	85504	333	8200	0.0204707349736755	0.416	0.0345485580542491	0.532
Block_455	13	76723380	78095500	0.00482343039219645	0.559517925494788	169	79706	79821	116	923	0.0128951468034198	0.416	0.109178909602288	0.804
Block_456	21	23391513.6666667	23947797	0.00788342776786328	0.102484560982223	217	171933	171945	13	78	0.00127212238214855	0.424	0.493566091975442	1
Block_457	2	195086870	195425384	0.00960741607629382	0.0672519125340568	36	157272	157278	7	24	0.000857191839533688	0.424	0.604978669588573	1
Block_458	10	63017479	63734682	0.00494536131820012	0.43024643468341	145	34312	34398	87	752	0.0124702778046944	0.436	0.148661911115418	0.892
Block_459	12	62334217	62786841	0.00604164059406066	0.205415780198063	162	66523	66556	34	137	0.00385860558491541	0.436	0.307595216621074	0.994
Block_460	1	149069813	149298892	0.00826114749733126	0.0908726224706439	14	15709	15719	11	12	0.00118019166312609	0.438	0.526067328070921	1
Block_461	7	9304182	15548297	0.00381512849200722	1.26280753085439	89	250961	251291	331	6160	0.0221478494423284	0.442	0.0358504958047292	0.538
Block_462	13	61987935	62454781	0.00765022005726097	0.107103080801654	167	79064	79077	14	265	0.00142616845186185	0.446	0.481644913870855	1
Block_463	6	64487442.5	65087487.5	0.0063579913741519	0.178023758476253	79	240288	240315	28	209	0.00312564444676342	0.448	0.343828342986059	0.998
Block_464	4	40104428	40665353	0.00455319178482471	0.596468123812036	56	204262	204392	131	1023	0.0191861895213888	0.45	0.100934960258599	0.788
Block_465	13	50024425.6666667	50650086	0.00489254937122146	0.43543689403871	165	78329	78417	89	3958	0.0134318234333887	0.45	0.146763665998305	0.89
Block_466	12	22671186	24610099	0.00443229023925121	0.62052063349517	158	62589	62728	140	4166	0.0223689800907878	0.452	0.0960502090802704	0.784
Block_467	15	50167503	50755514	0.00497149125052205	0.412633773793331	185	96108	96190	83	6498	0.0122864163666495	0.452	0.155690884199594	0.9
Block_468	13	100085229.5	100801876	0.00470118297879075	0.526532493624564	170	81203	81314	112	2686	0.0163065218633611	0.456	0.117601751155967	0.826
Block_469	1	195441602	198057818	0.00431787341579879	0.669270379448812	17	21036	21190	155	1707	0.024980309433831	0.46	0.0872273446681425	0.764
Block_470	6	88417020	89309497	0.00477648130249647	0.477648130249647	81	241491	241590	100	989	0.0152754070418931	0.46	0.132136743217625	0.862
Block_471	1	100715487.153846	101427300	0.00497099595138844	0.397679676111075	4	13634	13713	80	1796	0.0126317777164906	0.462	0.162135972987276	0.914
Block_472	6	131345880	132713009	0.00453102680665084	0.566378350831355	87	244705	244829	125	6089	0.0204558272895097	0.466	0.107516702817801	0.802
Block_473	5	89936353	91018691	0.00474851481107529	0.489097025540755	71	222350	222452	103	2650	0.0158046298297791	0.468	0.128432183702423	0.854
Block_474	15	22381402	23094174	0.00497405355969168	0.378028070536568	179	93203	93278	76	76	0.0128926621893922	0.468	0.171430914064655	0.926
Block_475	1	81668907	83568934	0.00471307163881476	0.499585593714365	3	11935	12040	106	9593	0.0165077755995995	0.47	0.125279208501355	0.85
Block_476	6	69668231	69849058	0.00928883314300459	0.0650218320010322	79	240408	240414	7	209	0.00105844557577203	0.48	0.613232557388372	1
Block_477	3	98731036	99615019	0.00470149315379623	0.46074632907203	48	189878	189975	98	655	0.0176680903505045	0.482	0.137689855569387	0.868
Block_478	19	22605172.5	22785824	0.00806177373973659	0.0886795111371025	209	134326	134336	11	45	0.00143113767991711	0.484	0.532532293770824	1
Block_479	5	60787422	61507325	0.00508205410695421	0.320169408738115	67	219870	219932	63	1316	0.0119186934905597	0.486	0.203976873212631	0.954
Block_480	3	130710116	132165326	0.00464089058796792	0.505857074088503	50	193444	193552	109	2947	0.0185054052778171	0.49	0.123472894103266	0.836
Block_481	10	47588958	47702742	0.00692695964545837	0.124685273618251	140	33251	33268	18	18	0.00228584490542317	0.492	0.439729475224671	1
Block_482	13	78313933	79730270	0.00476851725230526	0.410092483698253	169	79846	79931	86	923	0.0168431984933301	0.496	0.156731937477173	0.902
Block_483	10	58903323	60368369	0.0050102999487641	0.310638596823374	145	33925	33986	62	752	0.013613200257406	0.506	0.210282823614766	0.966
Block_484	12	77481302	79400057	0.00428267454135741	0.603857110331394	164	67951	68091	141	7249	0.028366838353496	0.512	0.0992528765618905	0.788
Block_485	3	114520134	115402749	0.00495354904037411	0.307120040503195	49	191341	191402	62	1516	0.0150343994812126	0.514	0.212643206941018	0.966
Block_486	15	32928768	33266926	0.00467609716931331	0.416172648068885	184	94054	94142	89	525	0.0195539123974786	0.518	0.15426720036176	0.9
Block_487	2	128194918	128557314	0.00488237303814048	0.336883739631693	33	151568	151636	69	518	0.0158543221103318	0.518	0.1933824789988	0.95
Block_488	4	158262429	159248800	0.00511995916268708	0.286717713110477	61	212213	212268	56	2259	0.0120404395779138	0.518	0.22780432173764	0.974
Block_489	3	105543214	106447444	0.00481237493554364	0.351303370294686	49	190433	190505	73	1516	0.0171711675449777	0.522	0.185126106584973	0.94
Block_490	7	112849721	115880501	0.00403976494536485	0.710998630384214	101	260109	260284	176	1382	0.0338801968808155	0.528	0.0807300789858799	0.746
Block_491	3	86823205	87613028	0.00529401917765267	0.23823086299437	44	189500	189544	45	180	0.0104130173898136	0.528	0.270388121557257	0.988
Block_492	5	39437757	40521514	0.00440138644977275	0.506159441723867	66	218229	218343	115	1122	0.0268139545862248	0.53	0.123378478770215	0.836
Block_493	11	97813522	97836867	0.0112971324445022	0.0451885297780087	156	54778	54781	4	23	0.00103359943549569	0.53	0.698673464570646	1
Block_494	14	47655973	47676840	-0.0119356880062606	0.0358070640187816	174	84969	84971	3	41	0.000993845611053551	0.534	0.745866223411524	1
Block_495	7	90012759	91459545	0.00430247547493857	0.520599532467567	100	257716	257836	121	1478	0.0304663372068466	0.536	0.119266442554481	0.83
Block_496	2	184037145	186679171	0.00484304468919185	0.314797904797471	35	156558	156622	65	5305	0.0174072058776029	0.546	0.207552232798396	0.962
Block_497	18	58616767	59712034	0.00471191838678853	0.367529634169505	206	130160	130237	78	3013	0.0196955353970537	0.548	0.176497042067	0.93
Block_498	3	108013109	109215152.5	0.00444870877158517	0.427076042072176	49	190661	190756	96	1516	0.0275841849347913	0.568	0.149889310445069	0.892
Block_499	4	46427765.5	47544981	0.00504213910077701	0.257149094139627	58	204731	204781	51	246	0.0146617073770675	0.572	0.252603254347453	0.986
Block_500	1	92775395	93794397	0.00432353423451463	0.471265231562094	4	12870	12978	109	1796	0.031569505835116	0.574	0.13422133438681	0.864
Block_501	5	39138071	39400629	0.00496335252903962	0.2630576840391	66	218172	218224	53	1122	0.0162841603371124	0.578	0.247338357222897	0.986
Block_502	14	47238968	47311141	-0.0125837107183629	0.0251674214367257	174	84957	84958	2	41	0.00106838403188257	0.58	0.806833682421604	1
Block_503	9	5786038	6331521	0.00476087897455315	0.295174496422295	118	280395	280456	62	641	0.020582542604919	0.582	0.221257363774824	0.972
Block_504	7	63353556	64467286	0.00512347240465833	0.240803203018942	93	255896	255942	47	47	0.0134889695560243	0.582	0.267794184512407	0.988
Block_505	13	45873076	46465310	0.00454905324468024	0.38212047255314	165	77828	77911	84	3958	0.0251269016614614	0.584	0.169423345930326	0.926
Block_506	4	170708807	172108116	0.00482474899177338	0.289484939506403	62	212986	213045	60	561	0.0188805819959898	0.584	0.225739607480676	0.974
Block_507	18	64736132	66469914	0.00442348804383946	0.40696090003323	207	130703	130794	92	1186	0.029499822350097	0.586	0.158063690595984	0.906
Block_508	9	113312452	114377078	0.00434254560454422	0.434254560454422	135	285881	285980	100	4713	0.0321856901139692	0.588	0.147193504225086	0.892
Block_509	3	144753255	145907879	0.00489966271416479	0.269481449279063	51	194787	194841	55	1670	0.0176705749645321	0.592	0.241730583362528	0.984
Block_510	6	22448632	23621344	0.00467965400540342	0.304177510351222	73	235290	235354	65	3384	0.0231566027375477	0.596	0.214715375040064	0.966
Block_511	8	66825594	67459269	0.00425970366253368	0.447268884566036	112	271614	271718	105	2217	0.0360020572604149	0.602	0.142375837625504	0.884
Block_512	1	248274759	249219611	0.00474827146577986	0.289644559412571	19	28045	28105	61	5331	0.0212608422344631	0.602	0.225625315235405	0.974
Block_513	8	59801939	61398068.5	0.0041303418881742	0.483250000916381	112	271058	271174	117	2217	0.0412172621044184	0.614	0.130447205678834	0.858
Block_514	13	67676107	67874129	0.00721007950360656	0.0937310335468853	168	79214	79226	13	109	0.00255169860637999	0.616	0.517711571095988	1
Block_515	10	67073427	69736743	0.00411898730891489	0.477802527834127	146	34677	34792	116	2864	0.0422061384874167	0.624	0.132096989393183	0.862
Block_516	14	66067347	66952980	0.00431763930285467	0.392905176559775	175	87199	87289	91	8200	0.0354951959987776	0.624	0.164334856401732	0.916
Block_517	8	88707229	89931604	0.00478258624529197	0.258259657245767	116	273175	273228	54	2224	0.0215117882512541	0.628	0.251529901087516	0.986
Block_518	8	86850141	87243879.6666667	0.00491650409620912	0.235992196618038	115	273066	273113	48	105	0.0187961051190503	0.634	0.272619304954072	0.988
Block_519	5	68572573	68827229.3333333	0.00564018031021374	0.163565228996198	68	220493	220521	29	528	0.00840544925548541	0.646	0.366316584550173	1
Block_520	6	121902003	123535751	0.00409892131052206	0.442683501536382	87	243986	244093	108	6089	0.0455852135649987	0.65	0.144000775199577	0.888
Block_521	6	76366006	76655983	0.00518798434163069	0.176391467615443	80	240876	240909	34	535	0.014651768920957	0.664	0.346332833925914	0.998
Block_522	12	18294586	19310593	0.00435062413225222	0.308894313389907	158	62263	62333	71	4166	0.0387351326908121	0.684	0.211502769102334	0.966
Block_523	14	47739274	48109953	0.00745835352132302	0.0745835352132302	174	84973	84982	10	41	0.00277034464081177	0.688	0.578500137896079	1
Block_524	5	40653022	41416366	0.00421648991273575	0.341535682931595	66	218358	218438	81	1122	0.0449218216196205	0.69	0.19055747284938	0.946
Block_525	7	38209440	39126804	0.00385905172551222	0.45150905188493	89	253892	254008	117	6160	0.0608233513964773	0.694	0.140890038436979	0.882
Block_526	1	185614930	187840215	0.00329387928843068	0.639012581955552	15	20521	20714	194	5036	0.0668485404134895	0.696	0.0924524879682566	0.774
Block_527	2	194689205	194689205	0.012818201902573	0.012818201902573	36	157263	157263	1	24	0.00145101459213818	0.698	0.8946772113686	1
Block_528	7	86374484	86773378	0.00471964071836603	0.221823113763203	99	257518	257564	47	183	0.0259990011851609	0.702	0.288140688784701	0.99
Block_529	3	100080118	100468242	0.00470236803836204	0.221011297803016	48	190056	190102	47	655	0.0268537084106669	0.704	0.289037634448677	0.99
Block_530	14	46120144	46410052	0.00670897395232781	0.0939256353325894	173	84932	84945	14	121	0.00395799014602077	0.704	0.517174894466019	1
Block_531	4	67141237.6666667	68645243	0.00438571200202323	0.276299856127463	60	205697	205759	63	4676	0.0388469403220557	0.706	0.236172501782711	0.98
Block_532	7	122257281	123512535	0.00382025146801822	0.439328918822096	102	260776	260890	115	435	0.0651167644362287	0.708	0.14526792835367	0.888
Block_533	7	84330779	85350088	0.0050064399494213	0.180231838179167	98	257469	257504	36	643	0.0191066818725045	0.71	0.340660460100826	0.998
Block_534	12	28837108	29578500	0.00447456492210428	0.263999330404152	158	63298	63356	59	4166	0.0346926656678518	0.718	0.246520919207806	0.986
Block_535	4	173522917	173968080	0.00520051168278844	0.156015350483653	63	213071	213100	30	445	0.0159462528293542	0.72	0.379032839143603	1
Block_536	12	19469424	20681077	0.00388321872528256	0.392205091253538	158	62366	62466	101	4166	0.0651838490149748	0.732	0.164645433155187	0.916
Block_537	4	30745743	31116618	0.00515341272155957	0.159755794368347	56	203662	203692	31	1023	0.0168804677037446	0.732	0.372667258004805	1
Block_538	1	12460302.5	12915919.6666667	0.00389298768843257	0.365940842712661	2	2354	2447	94	2446	0.067387701657486	0.746	0.177311995468064	0.936
Block_539	13	66437498	66785045	0.00710116002161608	0.0781127602377769	168	79154	79164	11	109	0.00353312114729537	0.748	0.566283290722203	1
Block_540	6	100316294.666667	100684047	0.00537486155168966	0.139746400343931	84	242171	242196	26	304	0.0133746773107532	0.75	0.40907927657978	1
Block_541	7	123842309	124463149	0.00505268585207205	0.161685947266305	102	260914	260945	32	435	0.0193899278716548	0.754	0.36941738285666	1
Block_542	12	38443128	40159773	0.00401443964165917	0.321155171332734	161	63832	63911	80	2681	0.0621923737257036	0.756	0.203370627389888	0.954
Block_543	3	141295889	141934296	0.00392997784535493	0.345838050391234	50	194478	194565	88	2947	0.0665255405898971	0.758	0.188015712699111	0.946
Block_544	6	75445484	76007287	0.00443064820346832	0.234824354783821	80	240774	240826	53	535	0.0395749322321524	0.758	0.273816888915391	0.988
Block_545	11	36586103	37025284	0.00493583576375815	0.162882580204019	150	48200	48232	33	2406	0.0223863723889812	0.76	0.367449568546774	1
Block_546	1	187996449	189118964	0.004780979691411	0.176896248582207	15	20719	20755	37	5036	0.0267021469549813	0.764	0.345500488226656	0.998
Block_547	12	32308125	33205648.3333333	0.00367787407388739	0.404566148127613	158	63639	63748	110	4166	0.0814729785801425	0.772	0.159186736136475	0.906
Block_548	4	44740834	44761968	-0.0112523360423363	0.0225046720846725	57	204705	204706	2	32	0.00191563741530572	0.772	0.8238806192652	1
Block_549	6	76940951	78645817	0.00469228881798593	0.187691552719437	80	240918	240957	40	535	0.0296215684374511	0.776	0.330565473306549	0.996
Block_550	3	112270176	112642487	0.00426135477610236	0.247158577013937	49	191025	191082	58	1516	0.049933288113358	0.778	0.261587618671377	0.988
Block_551	6	107120429	107531017	0.00429626068981386	0.236294337939762	86	242594	242648	55	1290	0.0483804043460869	0.784	0.272293820516452	0.988
Block_552	6	71594849	72254462	0.00409259612655687	0.270111344352753	80	240509	240574	66	535	0.0613972972368607	0.79	0.241186452890476	0.984
Block_553	15	37084662	37380967	0.00438979152304345	0.210709993106085	184	94523	94570	48	525	0.0447031755851887	0.79	0.300991112535623	0.994
Block_554	8	42829213	43554101	0.00449275412677521	0.197681181578109	109	269943	269986	44	4280	0.0392494477945324	0.794	0.317436772784532	0.994
Block_555	4	42618091	43460479	0.00455239083343599	0.186648024170876	56	204644	204684	41	1023	0.0368642183280038	0.806	0.331917103337582	0.998
Block_556	14	43324599	44008450	0.00683170562447405	0.0751487618692145	173	84846	84856	11	121	0.00460647440723321	0.81	0.576487600533695	1
Block_557	12	40708642	42157980	0.00399665081563132	0.255785652200405	161	63962	64025	64	2681	0.0721805221167918	0.82	0.253843076747243	0.986
Block_558	6	107730183	108038173	0.00423272692786384	0.215869073321056	86	242665	242715	51	1290	0.0559907771127294	0.822	0.294938592764307	0.992
Block_559	2	111400748	112029508	0.00368826843664233	0.335632427734452	31	150087	150177	91	91	0.091967988232868	0.834	0.19418004010167	0.95
Block_560	6	81134616	81938758	0.00483100512727133	0.14493015381814	81	241071	241100	30	989	0.0281034692665668	0.836	0.399260081942571	1
Block_561	14	47509965	47572921	0.00961723069688095	0.0384689227875238	174	84965	84968	4	41	0.00238274485250089	0.836	0.731984684839134	1
Block_562	1	104326905	104635600	0.00743498530124584	0.0594798824099667	5	13847	13854	8	19	0.0038287902165838	0.842	0.635159276182241	1
Block_563	4	104296665	105864481	0.00382427761838596	0.260050878050245	60	208523	208590	68	4676	0.0906685350964155	0.844	0.249885086601222	0.986
Block_564	11	128473990	128775126.166667	0.0036851530973175	0.2948122477854	157	58683	58762	80	4801	0.100768491118747	0.864	0.221535640545919	0.972
Block_565	10	52066867	52232489	0.00448638898047736	0.17048278125814	143	33620	33657	38	318	0.0425688921354512	0.864	0.355349498232197	1
Block_566	13	62783718	62993328	0.0065399936228313	0.0719399298511443	167	79083	79093	11	265	0.00630346578810715	0.87	0.587837317411927	1
Block_567	15	83230227	83768554	0.00369383664057827	0.265956238121635	186	101082	101153	72	2546	0.106189918927044	0.878	0.24475187402013	0.986
Block_568	3	17761543	18278908.5	0.00429159583632646	0.175955429289385	38	182808	182848	41	3566	0.0564727922340904	0.882	0.346936595134629	0.998
Block_569	13	86368096	86634792	0.00589655766816337	0.0884483650224506	169	80171	80185	15	923	0.00974962544443533	0.884	0.533193201102175	1
Block_570	12	21483871	22465457	0.00366405487233543	0.274804115425157	158	62498	62572	75	4166	0.108055864061797	0.886	0.237380024200141	0.98
Block_571	3	93787978	93976019	0.00558456078706955	0.0949375333801823	46	189635	189651	17	37	0.0132057235568741	0.89	0.514255472983549	1
Block_572	1	101815369.666667	103345183	0.00395263658480623	0.193679192655505	4	13780	13828	49	1796	0.0886932669444465	0.9	0.32260476996201	0.994
Block_573	1	193324632	193735820	0.00434717046866755	0.165192477809367	16	20962	20999	38	280	0.0534291400502389	0.902	0.363573570663665	1
Block_574	7	77507029	77771161	0.00458240344023783	0.146636910087611	98	256967	256998	32	643	0.0404047933173821	0.904	0.395970452969983	1
Block_575	13	68432240	68955876	0.00574332459676942	0.0861498689515413	168	79248	79262	15	109	0.0118565781398689	0.904	0.540393612554258	1
Block_576	12	65889037	66089260	0.00387013683187574	0.197376978425663	163	66856	66906	51	1012	0.0985522154060977	0.906	0.317784618748401	0.994
Block_577	7	8226428	9137348	0.00394004487884414	0.193062199063363	89	250910	250958	49	6160	0.0903231737465743	0.906	0.323429661819185	0.994
Block_578	14	48868317	50648439	0.00281489015917367	0.332157038782493	175	84989	85106	118	8200	0.151330386581097	0.908	0.196200031306137	0.95
Block_579	14	67437500	68053119	0.00318961474462401	0.309392630228529	175	87310	87406	97	8200	0.153330500873342	0.916	0.211172315436658	0.966
Block_580	5	64358677	64690269	0.00445339091553377	0.146961900212615	68	220045	220077	33	528	0.0481393967854064	0.918	0.395418868655849	1
Block_581	7	125942245	126615786	0.00453813022542209	0.136143906762663	103	260986	261015	30	2121	0.0446261525503321	0.918	0.41590451131369	1
Block_582	11	96982058	97428597	0.00606838123040187	0.0728205747648224	156	54759	54770	12	23	0.00965769472541288	0.92	0.584823480596407	1
Block_583	6	82405786	82804314	0.00373822646537462	0.205602455595604	81	241111	241165	55	989	0.115514675372754	0.926	0.307374085972615	0.994
Block_584	6	66360569	66999374	0.00616756178463855	0.067843179631024	79	240339	240349	11	209	0.00938687179640079	0.93	0.602819539998559	1
Block_585	13	60576227	60763264	0.00510232607776951	0.0969441954776206	167	78994	79012	19	265	0.0238398715951471	0.938	0.508461353071107	1
Block_586	14	35579580	36046379	0.00362962404621735	0.210518194680606	172	84435	84492	58	1895	0.131314335974478	0.944	0.301199820113944	0.994
Block_587	8	115599097	116479999.5	0.00370549174527239	0.188980079008892	117	275499	275549	51	4557	0.125920238920485	0.948	0.328890843451924	0.996
Block_588	4	169936293	170321764	0.00326567107963466	0.2449253309726	62	212881	212955	75	561	0.176106957664662	0.954	0.263759171331529	0.988
