	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	V8	Symbol.1	Estimate	Std..Error	t.value	Pr...t..
cg16990168	chr1	119525910	119526211	0	0	0	0	TBX15	chr1	119526060	119526061	cg16990168	TBX15	F	N_Shore	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg11442732	chrX	133117938	133118239	0	0	0	0	GPC3	chrX	133118088	133118089	cg11442732	GPC3	F	Island	I	GPC3	-1.22e-07	8.87e-09	-13.75831442	3.95e-40
cg14068328	chr6	85473937	85474238	0	0	0	0	TBX18	chr6	85474087	85474088	cg14068328	TBX18	R	Island	II	TBX18	-3.29e-06	3.35e-07	-9.827919413	5.51e-22
cg02106850	chr6	85473943	85474244	0	0	0	0	TBX18	chr6	85474093	85474094	cg02106850	TBX18	R	Island	I	TBX18	-3.29e-06	3.35e-07	-9.827919413	5.51e-22
cg14565725	chr1	119531894	119532195	0	0	0	0	TBX15	chr1	119532044	119532045	cg14565725	TBX15	R	Island	I	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg12730323	chr1	200004607	200004908	0	0	0	0	NR5A2	chr1	200004757	200004758	cg12730323	NR5A2	R	Island	II	NR5A2	-7.95e-06	5.01e-07	-15.88287564	9.41e-52
cg01381846	chr7	27204635	27204936	0	0	0	0	HOXA9	chr7	27204785	27204786	cg01381846	HOXA9	F	Island	II	HOXA9	-6.84e-07	1.09e-07	-6.297902346	4.21e-10
cg07811198	chr7	153585218	153585519	0	0	0	0	DPP6	chr7	153585368	153585369	cg07811198	DPP6	F	Island	II	DPP6	-1.35e-05	1.39e-06	-9.673327061	2.26e-21
cg11178293	chr3	62355355	62355656	0	0	0	0	FEZF2	chr3	62355505	62355506	cg11178293	FEZF2	F	Island	II	FEZF2	-1.26e-05	2.14e-06	-5.919148645	4.21e-09
cg22081832	chr3	64670309	64670610	0	0	0	0	ADAMTS9	chr3	64670459	64670460	cg22081832	ADAMTS9	F	N_Shore	II	ADAMTS9	-4.49e-07	8.53e-08	-5.269298865	1.62e-07
cg16993043	chr1	200007876	200008177	0	0	0	0	NR5A2	chr1	200008026	200008027	cg16993043	NR5A2	F	N_Shore	I	NR5A2	-7.95e-06	5.01e-07	-15.88287564	9.41e-52
cg09890775	chr10	131758544	131758845	0	0	0	0	EBF3	chr10	131758694	131758695	cg09890775	EBF3	R	Island	II	EBF3	-3.34e-06	1.18e-07	-28.27308393	1.67e-135
cg14564076	chr7	153584723	153585024	0	0	0	0	DPP6	chr7	153584873	153584874	cg14564076	DPP6	F	Island	II	DPP6	-1.35e-05	1.39e-06	-9.673327061	2.26e-21
cg27517681	chr1	119528698	119528999	0	0	0	0	TBX15	chr1	119528848	119528849	cg27517681	TBX15	F	N_Shore	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg12506930	chr19	58220568	58220869	0	0	0	0	ZNF154	chr19	58220718	58220719	cg12506930	ZNF154	F	S_Shore	II	ZNF154	-1.98e-06	3.04e-07	-6.525362051	9.94e-11
cg05767411	chr4	165898675	165898976	0	0	0	0	TRIM61	chr4	165898825	165898826	cg05767411	TRIM61	R	CpG_Ocean	I	TRIM61	-4.19e-05	3.29e-06	-12.72257219	6.74e-35
cg17859448	chr1	101703599	101703900	0	0	0	0	S1PR1	chr1	101703749	101703750	cg17859448	S1PR1	F	S_Shore	II	S1PR1	-7.46e-07	2.62e-08	-28.49881966	3.54e-137
cg04765848	chr1	53527426	53527727	0	0	0	0	PODN	chr1	53527576	53527577	cg04765848	PODN	R	Island	II	PODN	-3.6e-07	2.76e-08	-13.04439641	1.72e-36
cg10406124	chr12	128750892	128751193	0	0	0	0	TMEM132C	chr12	128751042	128751043	cg10406124	TMEM132C	R	Island	II	TMEM132C	-1.53e-06	5.59e-08	-27.27747407	3.74e-128
cg21591742	chr2	176980848	176981149	0	0	0	0	HOXD10	chr2	176980998	176980999	cg21591742	HOXD10	R	Island	II	HOXD10	-5.95e-06	6.67e-07	-8.921618475	1.66e-18
cg24884142	chr1	119531906	119532207	0	0	0	0	TBX15	chr1	119532056	119532057	cg24884142	TBX15	F	Island	I	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg20068535	chr6	151560831	151561132	0	0	0	0	AKAP12	chr6	151560981	151560982	cg20068535	AKAP12	F	Island	I	AKAP12	-7.68e-07	2.84e-08	-27.06303129	1.41e-126
cg13919285	chr20	57875975	57876276	0	0	0	0	EDN3	chr20	57876125	57876126	cg13919285	EDN3	F	Island	II	EDN3	-5.64e-07	6.93e-08	-8.135926994	1e-15
cg00988247	chr3	169378608	169378909	0	0	0	0	MECOM	chr3	169378758	169378759	cg00988247	MECOM	F	N_Shore	II	MECOM	-3.44e-06	2.4e-07	-14.34327366	3.25e-43
cg14612428	chr18	11751416	11751717	0	0	0	0	GNAL	chr18	11751566	11751567	cg14612428	GNAL	R	Island	II	GNAL	-9.42e-06	2.84e-07	-33.182969	2.42e-172
cg15422685	chr3	62356624	62356925	0	0	0	0	FEZF2	chr3	62356774	62356775	cg15422685	FEZF2	R	Island	II	FEZF2	-1.26e-05	2.14e-06	-5.919148645	4.21e-09
cg05031016	chr14	24804003	24804304	0	0	0	0	ADCY4	chr14	24804153	24804154	cg05031016	ADCY4	R	Island	II	ADCY4	-4.89e-06	1.93e-07	-25.33578446	5.18e-114
cg08475953	chr5	178003941	178004242	0	0	0	0	COL23A1	chr5	178004091	178004092	cg08475953	COL23A1	F	Island	I	COL23A1	-1.95e-06	3.8e-07	-5.130506981	3.36e-07
cg03502002	chr18	74961983	74962284	0	0	0	0	GALR1	chr18	74962133	74962134	cg03502002	GALR1	R	Island	I	GALR1	-0.000100767	1.01e-05	-10.02622598	8.76e-23
cg17677030	chr2	50574919	50575220	0	0	0	0	NRXN1	chr2	50575069	50575070	cg17677030	NRXN1	F	S_Shore	II	NRXN1	-3.72e-06	7.93e-07	-4.691566061	3.02e-06
cg04534765	chr18	74962219	74962520	0	0	0	0	GALR1	chr18	74962369	74962370	cg04534765	GALR1	F	Island	I	GALR1	-0.000100767	1.01e-05	-10.02622598	8.76e-23
cg12993163	chr3	157821257	157821558	0	0	0	0	SHOX2	chr3	157821407	157821408	cg12993163	SHOX2	F	Island	I	SHOX2	-1.74e-06	3.39e-07	-5.136359459	3.26e-07
cg02216246	chr11	128564606	128564907	0	0	0	0	FLI1	chr11	128564756	128564757	cg02216246	FLI1	R	Island	II	FLI1	-3.07e-06	1.71e-07	-17.95654616	4.07e-64
cg24144440	chr1	119526732	119527033	0	0	0	0	TBX15	chr1	119526882	119526883	cg24144440	TBX15	R	Island	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg03507241	chr18	12307499	12307800	0	0	0	0	TUBB6	chr18	12307649	12307650	cg03507241	TUBB6	F	Island	II	TUBB6	-3.69e-07	2.54e-08	-14.54772016	2.58e-44
cg22975671	chr17	6926119	6926420	0	0	0	0	BCL6B	chr17	6926269	6926270	cg22975671	BCL6B	F	Island	II	BCL6B	-1.63e-06	1.41e-07	-11.60314968	1.36e-29
cg18774195	chr3	170303680	170303981	0	0	0	0	SLC7A14	chr3	170303830	170303831	cg18774195	SLC7A14	F	S_Shore	II	SLC7A14	-6.25e-05	7.17e-06	-8.716374804	9.28e-18
cg04887807	chr4	5021161	5021462	0	0	0	0	CYTL1	chr4	5021311	5021312	cg04887807	CYTL1	F	Island	I	CYTL1	-2.31e-06	1.97e-07	-11.72557885	3.73e-30
cg14582763	chr19	52956533	52956834	0	0	0	0	ZNF578	chr19	52956683	52956684	cg14582763	ZNF578	R	Island	I	ZNF578	-2.04e-05	3.96e-06	-5.160628502	2.87e-07
cg01711160	chr14	85996349	85996650	0	0	0	0	FLRT2	chr14	85996499	85996500	cg01711160	FLRT2	R	Island	II	FLRT2	-9.18e-06	5.22e-07	-17.59375074	6.89e-62
cg06865612	chr2	946849	947150	0	0	0	0	SNTG2	chr2	946999	947000	cg06865612	SNTG2	R	Island	II	SNTG2	-1.49e-05	1.22e-06	-12.2684144	1.06e-32
cg25047056	chr10	30347814	30348115	0	0	0	0	KIAA1462	chr10	30347964	30347965	cg25047056	KIAA1462	R	Island	I	KIAA1462	-1.16e-06	9.99e-08	-11.56556629	2.02e-29
cg07028914	chr6	85473940	85474241	0	0	0	0	TBX18	chr6	85474090	85474091	cg07028914	TBX18	R	Island	I	TBX18	-3.29e-06	3.35e-07	-9.827919413	5.51e-22
