	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg17472649	0.0271923208200157	0.304378646746799	3.88129146817584	0.00031169528136518	0.0357174238742115	-0.945592720965619	0.290782486336791	0.317974807156807	0.0271923208200156	11	35835797	F	II		IGR	opensea	IGR-opensea		rs142308753;rs186401340;rs12293772	5;7;23
cg26159832	0.0257311370934542	0.822100740259604	3.88106563714483	0.000311916189753847	0.0357372449846021	-0.946274187729166	0.809235171712877	0.834966308806331	0.0257311370934539	14	103822211	F	II		IGR	opensea	IGR-opensea		rs114166869;rs149056841	8;29
cg11842153	0.0244430816431147	0.86014014639802	3.88083004712791	0.000312146805386985	0.0357581720231328	-0.94698508089572	0.847918605576462	0.872361687219577	0.0244430816431146	14	91223469	R	II	TTC7B	Body	shore	Body-shore	chr14:91224829-91225109	rs536050458;rs555893196;rs192777100	35;15;6
cg22351187	0.0305826112127484	0.516506995266271	3.88053939302066	0.000312431549132067	0.0357852923584778	-0.94786209868179	0.501215689659897	0.531798300872645	0.0305826112127483	12	52586089	F	II	KRT80	TSS1500	opensea	TSS1500-opensea			
cg20953257	0.0328258954350249	0.685879635424751	3.8803051277181	0.000312661233095081	0.0358060988919984	-0.948568944060512	0.669466687707238	0.702292583142263	0.032825895435025	19	11289349	R	II	KANK2	Body	shore	Body-shore	chr19:11289021-11289248	rs149142528;rs140982088	44;1
cg11423280	0.0317908375166992	0.675742022974392	3.88016534781531	0.000312798357024304	0.0358137217413198	-0.948990689265415	0.659846604216042	0.691637441732741	0.0317908375166991	5	31777552	F	I		IGR	opensea	IGR-opensea		rs537810322;rs558153659;rs578007094;rs7710069;rs553874082;rs141443640;rs541660043	0;4;12;13;17;25;31
cg01641908	0.0188004859883681	0.911017645412888	3.8800945876464	0.000312867794789508	0.0358137217413198	-0.949204184442655	0.901617402418704	0.920417888407072	0.0188004859883679	13	100602782	F	II		IGR	opensea	IGR-opensea		rs115278439	37
cg11423060	0.0341723416561868	0.840276279989571	3.88009039401651	0.000312871910513375	0.0358137217413198	-0.949216837255834	0.823190109161478	0.857362450817664	0.0341723416561867	1	20423615	R	II		IGR	opensea	IGR-opensea		rs563714535;rs575449144	23;12
cg05050341	0.0300644639889222	0.703300933157799	3.88001066551606	0.000312950167816556	0.035817180336497	-0.949457388781831	0.688268701163337	0.71833316515226	0.0300644639889223	9	130617534	F	II	ENG	TSS1500	shore	TSS1500-shore	chr9:130616619-130616858	rs45514697	51
cg07527273	0.0319373548094104	0.265675710699811	3.87985559570919	0.000313102430272145	0.035829106467526	-0.949925247620483	0.249707033295105	0.281644388104516	0.0319373548094104	18	74823654	F	II	MBP	5'UTR	shore	5'UTR-shore	chr18:74824149-74824414	rs556946746	38
cg01431244	0.0393577777394815	0.587309319594954	3.87963074121929	0.000313323341004682	0.0358442319813659	-0.950603635289688	0.567630430725213	0.606988208464694	0.0393577777394813	17	40575717	R	II	PTRF	TSS1500	shore	TSS1500-shore	chr17:40573740-40575526	rs1032072;rs560578488	31;29
cg01318441	0.0320277065657858	0.788734138121241	3.87958997363252	0.00031336340966256	0.0358442319813659	-0.9507266291823	0.772720284838349	0.804747991404134	0.0320277065657857	4	135124268	R	II	PABPC4L	TSS1500	opensea	TSS1500-opensea		rs80011755;rs562124007	51;32
cg11933664	0.0308848352017245	0.292126546716303	3.8795742697125	0.000313378845669838	0.0358442319813659	-0.950774006988881	0.27668412911544	0.307568964317165	0.0308848352017245	5	133585491	F	II		IGR	opensea	IGR-opensea		rs574829748	42
cg05200313	0.0238730089537799	0.18322951226904	3.87950648126479	0.00031344548604815	0.0358463547050936	-0.950978519603327	0.17129300779215	0.19516601674593	0.0238730089537799	14	92960827	F	II	SLC24A4	3'UTR	opensea	3'UTR-opensea		rs186010698	1
cg01594740	0.0242426788433744	0.221169044826142	3.87932268659063	0.000313626236757184	0.0358615246989432	-0.95153300473936	0.209047705404455	0.233290384247829	0.0242426788433744	22	37675532	F	II		IGR	opensea	IGR-opensea			
cg01784525	0.0212860011158638	0.244601243823369	3.87913075481148	0.000313815097139549	0.0358744123686632	-0.952112023698552	0.233958243265437	0.255244244381301	0.0212860011158638	16	75035268	F	II	ZNRF1	Body	shore	Body-shore	chr16:75033041-75034207	rs570830804	51
cg18941818	0.0290979239904881	0.46456938065438	3.87911034727905	0.000313835184551648	0.0358744123686632	-0.952173588165298	0.450020418659136	0.479118342649624	0.0290979239904881	2	157184553	R	I	NR4A2	Body	island	Body-island	chr2:157184389-157184632	rs16840249	13
cg12361605	0.01683443537669	0.922226942124345	3.87888393394386	0.000314058129524163	0.0358943935593884	-0.952856609614263	0.913809724436	0.93064415981269	0.01683443537669	15	33994250	R	II	RYR3	Body	opensea	Body-opensea		rs115827314;rs73377326;rs556199421;rs187500603	46;41;21;2
cg08864310	0.0313729877480348	0.536973200286188	3.87851875244182	0.000314418038911182	0.0359247989757475	-0.953958208892289	0.521286706412171	0.552659694160205	0.0313729877480349	5	64402469	R	II		IGR	shelf	IGR-shelf	chr5:64398699-64399216		
cg19534021	0.0229667914326956	0.852326193084131	3.87851293270836	0.000314423777845259	0.0359247989757475	-0.953975764141958	0.840842797367784	0.863809588800479	0.0229667914326952	19	16178091	F	II	TPM4	TSS1500	shore	TSS1500-shore	chr19:16178396-16178609	rs144882401	39
cg18681352	0.023495636560084	0.222765600166388	3.87844298281649	0.000314492764481943	0.0359247989757475	-0.95418676718855	0.211017781886346	0.23451341844643	0.023495636560084	22	39898064	R	II	SMCR7L	TSS1500	shore	TSS1500-shore	chr22:39898100-39898789	rs116506170;rs540396398	44;27
cg25711239	0.0310513320918646	0.539694533510912	3.87841850360434	0.000314516910048589	0.0359247989757475	-0.954260607977076	0.52416886746498	0.555220199556845	0.0310513320918646	17	73996656	R	II	CDK3	TSS1500	opensea	TSS1500-opensea			
cg26074499	0.0243186092876674	0.251985786558406	3.87836069495806	0.000314573937876422	0.0359258086331392	-0.954434984999958	0.239826481914572	0.26414509120224	0.0243186092876673	17	21256846	R	II		IGR	opensea	IGR-opensea			
cg15113233	0.032884106970495	0.193791379449606	3.87823722573818	0.000314695772811796	0.0359290017993395	-0.954807419418215	0.177349325964358	0.210233432934853	0.0328841069704949	7	77177775	R	II	PTPN12	Body	opensea	Body-opensea		rs182714481;rs187835367	42;30
cg05459252	0.0183317378598866	0.898378754389266	3.87823468206267	0.000314698283296787	0.0359290017993395	-0.954815092133644	0.889212885459322	0.907544623319209	0.0183317378598863	10	21095355	R	II	NEBL	Body	opensea	Body-opensea		rs531656859;rs549782480	13;2
cg14187266	0.0154561441120737	0.904728025236079	3.87817613374561	0.000314756073001476	0.0359300973193453	-0.95499169591349	0.896999953180042	0.912456097292116	0.015456144112074	3	64547346	F	II	ADAMTS9	Body	opensea	Body-opensea		rs201971866;rs150552517;rs543387674	42;44;45
cg06875162	0.0248838860390392	0.271928346868623	3.87803143995229	0.000314898935911568	0.0359385165536302	-0.955428140867935	0.259486403849104	0.284370289888143	0.0248838860390392	1	28184973	R	II		IGR	opensea	IGR-opensea		rs183848530;rs375892704	42;1
cg03029755	0.029131060561613	0.375281127507993	3.87798088009913	0.000314948870752319	0.0359385165536302	-0.955580644297654	0.360715597227186	0.389846657788799	0.029131060561613	17	76265444	R	II		IGR	opensea	IGR-opensea		rs549076428;rs562635027	2;1
cg19571979	0.0400322940533649	0.726990852447668	3.87790645549422	0.000315022389231596	0.0359385165536302	-0.955805128948953	0.706974705420985	0.74700699947435	0.0400322940533651	11	16832194	R	II	PLEKHA7	Body	opensea	Body-opensea		rs189674658;rs547359983;rs571969282	22;11;1
cg24807676	0.0230087299839681	0.419495429015943	3.87790619226288	0.000315022649287449	0.0359385165536302	-0.95580592292152	0.407991064023959	0.430999794007927	0.0230087299839682	12	121928403	R	II	KDM2B	Body	opensea	Body-opensea		rs75264043;rs545322845	33;29
cg21464454	0.0253412512224691	0.220568331215823	3.87785196446915	0.000315076227322113	0.035939129376224	-0.95596948711389	0.207897705604589	0.233238956827058	0.0253412512224691	7	106598386	R	II		IGR	opensea	IGR-opensea		rs540411895;rs560475183	34;14
cg15146620	0.0426787528818868	0.586778843422679	3.87761407882678	0.000315311366496779	0.0359604485913432	-0.956686993710617	0.565439466981735	0.608118219863622	0.0426787528818868	18	32733922	F	II		IGR	opensea	IGR-opensea		rs563299181;rs529273782;rs542678408;rs371864990	5;10;26;42
cg03360134	0.0304041464302514	0.819233443196677	3.87720780849613	0.000315713337804017	0.0359947165355109	-0.95791232561132	0.804031369981551	0.834435516411802	0.0304041464302512	5	141008862	R	II	HDAC3	Body	opensea	Body-opensea		rs79490452	21
cg01811730	0.022739167414913	0.189302843527729	3.87719296518149	0.000315728033408324	0.0359947165355109	-0.95795709251739	0.177933259820272	0.200672427235185	0.022739167414913	1	31544059	R	II		IGR	opensea	IGR-opensea			
cg01188914	0.0300775729911731	0.406617464019434	3.87716403254878	0.00031575668002039	0.0359947165355109	-0.958044352042887	0.391578677523847	0.42165625051502	0.0300775729911732	22	22306263	R	II	PPM1F	5'UTR	shore	5'UTR-shore	chr22:22306554-22307402	rs559621286;rs573275059	14;7
cg10589046	0.0318742904817037	0.35601567766217	3.87710898180089	0.000315811193475086	0.0359954269147063	-0.95821038168596	0.340078532421318	0.371952822903022	0.0318742904817036	16	3511533	F	II	NAA60	5'UTR	shelf	5'UTR-shelf	chr16:3507545-3508606	rs562857192	50
cg06270401	0.0251684295900291	0.294994982114084	3.87692241910525	0.000315996002854994	0.0360109856338242	-0.958773033958466	0.282410767319069	0.307579196909099	0.0251684295900292	12	4699085	F	II	DYRK4	TSS200	opensea	TSS200-opensea		rs188119200;rs538485739;rs558213739;rs565794616	1;6;23;31
cg23623851	0.0321432267827757	0.63528931094863	3.87683987460137	0.000316077804894291	0.0360113480387525	-0.959021974411529	0.619217697557242	0.651360924340017	0.0321432267827756	3	148992037	R	II		IGR	opensea	IGR-opensea		rs184788208;rs139212397	48;1
cg03607312	0.0283701519190277	0.242069324447771	3.87682172977993	0.000316095789246811	0.0360113480387525	-0.959076695790867	0.227884248488257	0.256254400407285	0.0283701519190276	7	107202825	R	II	COG5	Body	shore	Body-shore	chr7:107204114-107204797	rs184701269;rs141823714;rs150624659	47;37;1
cg25185435	0.0242566410532775	0.872665699147114	3.87674042947647	0.00031617638266919	0.0360123081455141	-0.959321880602755	0.860537378620475	0.884794019673753	0.0242566410532777	2	70221031	F	II	PCBP1-AS1	Body	opensea	Body-opensea		rs148953459	1
cg00909110	0.027124795006466	0.871594310722642	3.87669620315762	0.00031622023277823	0.0360123081455141	-0.959455256845459	0.858031913219409	0.885156708225875	0.0271247950064658	8	10427797	F	II		IGR	opensea	IGR-opensea		rs571776132;rs139495372;rs111452533;rs577225622;rs192035931	1;5;13;31;47
cg17476766	0.0123499746949783	0.934544479397982	3.87661936419677	0.00031629643206238	0.0360123081455141	-0.959686983285553	0.928369492050492	0.940719466745471	0.0123499746949787	8	141126827	F	II	TRAPPC9	Body	opensea	Body-opensea		rs565410828;rs149684515;rs573070486;rs72497396	1;18;20;46
cg09918917	0.0337910310802643	0.635297585614301	3.87661835347791	0.000316297434485125	0.0360123081455141	-0.959690031336165	0.618402070074169	0.652193101154433	0.0337910310802643	17	33456630	R	II	FNDC8	Body	opensea	Body-opensea		rs571358572;rs150486836;rs34615886	33;21;1
cg04465255	0.0253973307385237	0.866078815642181	3.87654114540325	0.000316374017885428	0.0360155273791551	-0.959922868454133	0.853380150272919	0.878777481011443	0.0253973307385237	19	8774730	F	II		IGR	opensea	IGR-opensea		rs536434848;rs377552100;rs572973607;rs80140927	0;23;40;41
cg02491794	0.0336246257868811	0.641330278003417	3.87633954833482	0.000316574068215258	0.0360327987676923	-0.960530815091766	0.624517965109976	0.658142590896857	0.0336246257868813	2	47204734	F	II	TTC7A	Body	opensea	Body-opensea		rs189445960;rs143444133	0;28
cg14494142	0.033513973148851	0.864832923360574	3.87612605929017	0.00031678605231835	0.0360514229908098	-0.961174605596889	0.848075936786148	0.881589909934999	0.0335139731488514	4	172973368	R	II	GALNTL6	Body	opensea	Body-opensea		rs576285058;rs78614097;rs139696548;rs185639844	16;8;3;2
cg11688731	0.0123266303001248	0.940463005591708	3.87584559547944	0.000317064747184012	0.0360675660799466	-0.962020334542406	0.934299690441646	0.94662632074177	0.0123266303001246	3	124376592	F	II	KALRN	ExonBnd	opensea	ExonBnd-opensea		rs138911697;rs112835381	0;24
cg19143716	0.0222736278476139	0.18718570781812	3.87581795128881	0.000317092229818779	0.0360675660799466	-0.962103692896283	0.176048893894313	0.198322521741927	0.0222736278476139	22	43369308	R	II	PACSIN2	5'UTR	opensea	5'UTR-opensea			
cg10480724	0.0305971153524605	0.485971218569664	3.87579001088232	0.000317120009273323	0.0360675660799466	-0.962187944141107	0.470672660893433	0.501269776245894	0.0305971153524606	6	7240783	F	II	RREB1	Body	opensea	Body-opensea		rs141706996;rs150428052	10;14
cg09328789	0.0279325740196051	0.273129406845808	3.87578859522295	0.000317121416840213	0.0360675660799466	-0.962192212898822	0.259163119836005	0.287095693855611	0.0279325740196052	1	8607931	R	II	RERE	Body	opensea	Body-opensea		rs185235173	25
cg22407408	0.0284039875685283	0.379901225603677	3.87537069023757	0.000317537196510838	0.036105372880567	-0.96345232123498	0.365699231819413	0.394103219387941	0.0284039875685284	17	45148368	F	II		IGR	opensea	IGR-opensea		rs188767344	22
cg04914996	0.0222676460176576	0.782702907002689	3.87530066012105	0.000317606921903992	0.036105372880567	-0.963663475931121	0.77156908399386	0.793836730011518	0.0222676460176577	3	186915259	R	II	RTP1	TSS200	shelf	TSS200-shelf	chr3:186917411-186917756	rs557841839;rs187820649;rs373857659	37;11;2
cg15232451	0.0245672458647481	0.244192060430171	3.87521091855193	0.000317696294569274	0.036105372880567	-0.963934061622199	0.231908437497797	0.256475683362546	0.0245672458647482	8	61764676	F	II	CHD7	Body	opensea	Body-opensea		rs535347450	25
cg18776248	0.0328948080527294	0.646450019300352	3.87520157346441	0.000317705602636163	0.036105372880567	-0.963962238418268	0.630002615273987	0.662897423326717	0.0328948080527294	12	114263832	F	II	RBM19	Body	opensea	Body-opensea		rs190357880;rs543642025	44;50
cg23335258	0.0297900614751897	0.797709049619711	3.87513010151445	0.000317776800150058	0.036105372880567	-0.964177735540662	0.782814018882116	0.812604080357306	0.0297900614751898	16	29974294	F	II	TMEM219	5'UTR	shore	5'UTR-shore	chr16:29973023-29973570	rs182907468	1
cg20848607	0.0341376270832932	0.800012469493221	3.87511937122023	0.000317787490571134	0.036105372880567	-0.964210088576739	0.782943655951575	0.817081283034868	0.034137627083293	20	31486005	R	II		IGR	opensea	IGR-opensea		rs114827239;rs535837028	47;2
cg11771130	0.0374683471281309	0.483421267768846	3.87509370789635	0.000317813059938711	0.036105372880567	-0.964287466173933	0.46468709420478	0.502155441332911	0.037468347128131	9	137331855	F	II	RXRA	3'UTR	shore	3'UTR-shore	chr9:137331316-137331646	rs151267127;rs35655145	0;40
cg09874335	0.0289718094062136	0.2881635282956	3.87505277429929	0.000317853847780591	0.036105372880567	-0.964410884676736	0.273677623592493	0.302649432998707	0.0289718094062137	10	86070347	F	II		IGR	opensea	IGR-opensea		rs567272344;rs144985487;rs138906037	0;1;14
cg26666512	-0.0151321387369487	0.109348516396395	-3.87501680443645	0.00031788969373121	0.036105372880567	-0.964519336502939	0.116914585764869	0.10178244702792	-0.0151321387369488	16	30934656	F	I	NCRNA00095	TSS200	island	TSS200-island	chr16:30933637-30935774	rs571239781	19
cg21685770	0.0326443047843276	0.311304016741324	3.87495879053657	0.000317947515996488	0.0361064395591515	-0.964694251628931	0.29498186434916	0.327626169133487	0.0326443047843277	12	10324918	F	II	OLR1	TSS200	opensea	TSS200-opensea		rs12308385;rs192780902;rs61744551;rs550780427	1;37;44;48
cg14762722	0.0253265018136515	0.878341666417586	3.87473759283118	0.000318168076133934	0.0361259837745932	-0.965361162289197	0.86567841551076	0.891004917324412	0.0253265018136516	11	78904475	F	II	ODZ4	5'UTR	opensea	5'UTR-opensea		rs190360957;rs114832830;rs555274080	0;19;33
cg09845996	0.029343647701323	0.811856745841069	3.87459291254754	0.000318312419231291	0.0361368693900816	-0.965797362190842	0.797184921990408	0.826528569691731	0.0293436477013229	6	32094905	R	II	ATF6B	Body	shelf	Body-shelf	chr6:32097820-32098086		
cg12785535	0.0144101442008848	0.92611502147639	3.87443933642226	0.000318465706551454	0.0361487669418229	-0.96626037295591	0.918909949375948	0.933320093576833	0.0144101442008847	17	78795392	F	II	RPTOR	Body	shore	Body-shore	chr17:78796078-78796392	rs186961853;rs573421508;rs17848626	25;30;32
cg06230799	0.027034359734973	0.253406378043143	3.87434158487939	0.000318563311352537	0.0361540872805333	-0.966555075281058	0.239889198175656	0.266923557910629	0.0270343597349728	1	234640908	R	II		IGR	opensea	IGR-opensea			
cg11431604	0.0251859796374325	0.294405433321752	3.87429481320686	0.000318610023018884	0.0361540872805333	-0.966696081595985	0.281812443503036	0.306998423140468	0.0251859796374325	17	71625505	F	II	SDK2	Body	opensea	Body-opensea		rs549354520;rs569259333	0;1
cg23250322	0.0336627417266749	0.644741608989036	3.87418679130386	0.000318717931586919	0.0361540872805333	-0.967021740459636	0.627910238125698	0.661572979852373	0.0336627417266749	16	10653180	F	II	EMP2	5'UTR	opensea	5'UTR-opensea		rs114782713;rs7200276;rs532384604	21;24;46
cg20319698	0.0321952884317183	0.683712499636077	3.87418037413383	0.000318724343133401	0.0361540872805333	-0.967041086462019	0.667614855420218	0.699810143851937	0.0321952884317183	2	238644099	F	II	LRRFIP1	Body	island	Body-island	chr2:238643905-238644109	rs562604101;rs531321101;rs3820810	9;18;37
cg18296502	0.0320107468070314	0.823990015627961	3.87414964101545	0.000318755051044287	0.0361540872805333	-0.967133738125114	0.807984642224445	0.839995389031476	0.0320107468070312	14	100826402	F	II	WARS	Body	opensea	Body-opensea		rs574455284;rs55730155;rs552893726;rs4900463	1;9;10;33
cg11352024	0.0270773476960094	0.836580278771038	3.87404582525652	0.000318858802757416	0.0361603537423381	-0.967446710416469	0.823041604923033	0.850118952619042	0.0270773476960098	5	24066040	R	II	C5orf17	Body	opensea	Body-opensea		rs562931119;rs530453035;rs73055099;rs563804912	48;42;34;2
cg22581933	0.0127319251423075	0.921106099768124	3.87393658544103	0.000318968010353745	0.0361614867753492	-0.967776029770529	0.91474013719697	0.927472062339278	0.0127319251423078	12	109797277	F	II		IGR	opensea	IGR-opensea			
cg18339098	0.0358326966134923	0.804941688412166	3.87390395358314	0.0003190006395852	0.0361614867753492	-0.967874402313084	0.787025340105419	0.822858036718912	0.0358326966134924	8	10892823	F	II	XKR6	Body	opensea	Body-opensea		rs374988427;rs577915076;rs558010459	1;8;14
cg03242028	0.0240724114870847	0.876171660370808	3.87389028568645	0.000319014307338519	0.0361614867753492	-0.967915605652116	0.864135454627266	0.888207866114351	0.0240724114870845	9	35754421	R	II	MSMP	TSS200	shelf	TSS200-shelf	chr9:35756948-35757339		
cg27237086	0.0299744375232793	0.774903623433986	3.87371833621627	0.000319186303267759	0.036175482867529	-0.968433959192066	0.759916404672346	0.789890842195625	0.0299744375232792	19	41133986	R	II	LTBP4	Body	shore	Body-shore	chr19:41135277-41135649		
cg21983345	0.0277455967239116	0.789327208209812	3.87362577928392	0.000319278922238103	0.0361804797595879	-0.968712973416464	0.775454409847856	0.803200006571768	0.0277455967239116	10	79170239	F	II	KCNMA1	Body	opensea	Body-opensea		rs547451510;rs368477609;rs533220186	0;1;33
cg23863323	0.0198206039186749	0.902394102441705	3.87354690864726	0.000319357866196566	0.0361839257248926	-0.968950727322729	0.892483800482367	0.912304404401043	0.0198206039186752	6	110868967	R	II		IGR	opensea	IGR-opensea		rs192547678;rs534830882;rs557850681;rs577991066	38;37;4;2
cg27387279	0.0326906507081625	0.25786659342951	3.87323575997422	0.000319669487827404	0.0362121551642936	-0.969888653622626	0.241521268075429	0.274211918783591	0.0326906507081625	14	94492008	F	II	OTUB2	TSS1500	shore	TSS1500-shore	chr14:94492639-94493297	rs537069678	50
cg21372885	0.0288466085657157	0.798601506734168	3.87320115544246	0.000319704163078222	0.0362121551642936	-0.969992963033928	0.78417820245131	0.813024811017026	0.0288466085657155	1	201270440	F	II	PKP1	Body	opensea	Body-opensea			
cg27178850	0.0299908435533219	0.496249203468208	3.87314003410756	0.000319765418186729	0.0362135914765177	-0.970177201585908	0.481253781691547	0.511244625244869	0.0299908435533219	11	9039431	R	II		IGR	opensea	IGR-opensea			
cg15660517	0.0165746055384083	0.920465062790696	3.87303547694487	0.000319870230437679	0.036219959471103	-0.97049236555511	0.912177760021492	0.9287523655599	0.0165746055384082	2	10360441	R	II		IGR	opensea	IGR-opensea		rs6432073;rs143103601	47;1
cg21772289	0.0321877162668119	0.373877422452856	3.87292540364659	0.000319980608089427	0.0362219918163254	-0.970824151811344	0.35778356431945	0.389971280586262	0.0321877162668118	15	43203438	R	II	TTBK2	5'UTR	opensea	5'UTR-opensea		rs528305237	33
cg13603332	0.0298507862403131	0.244663829121106	3.87290144996858	0.000320004632866566	0.0362219918163254	-0.970896353049918	0.229738436000949	0.259589222241262	0.0298507862403132	9	108053809	F	II	SLC44A1	Body	opensea	Body-opensea		rs556837544	38
cg24940561	0.0198671329980932	0.894250898641301	3.87287223609587	0.000320033935806751	0.0362219918163254	-0.970984409261597	0.884317332142254	0.904184465140348	0.0198671329980934	15	33261489	F	II	FMN1	Body	opensea	Body-opensea		rs570964839;rs61736694	26;39
cg15903395	0.0295729721254323	0.851940135734029	3.87268982906774	0.000320216957500692	0.0362326086298989	-0.971534211066092	0.837153649671313	0.866726621796745	0.0295729721254321	2	88824153	R	II	C2orf51	TSS200	opensea	TSS200-opensea		rs11898156;rs534761704;rs183557407	51;6;1
cg12311514	0.0152677471359041	0.916665064083275	3.87254402458417	0.000320363325909399	0.0362326086298989	-0.971973677535559	0.909031190515323	0.924298937651227	0.0152677471359041	15	62519237	F	II		IGR	shelf	IGR-shelf	chr15:62516324-62516805	rs191008169	1
cg10438671	0.0255011806114384	0.888548005316485	3.87246668936071	0.000320440986431043	0.0362326086298989	-0.972206768584683	0.875797415010766	0.901298595622204	0.0255011806114381	1	45237379	F	II		IGR	shelf	IGR-shelf	chr1:45241013-45241900	rs555465749;rs192073303;rs537797177	7;17;21
cg25498385	0.0227514689549037	0.893220307252181	3.87240808396571	0.000320499850434784	0.0362326086298989	-0.972383405641513	0.881844572774729	0.904596041729632	0.0227514689549035	13	21288714	F	II	IL17D	Body	opensea	Body-opensea		rs190668489;rs75943605	0;1
cg06925645	0.0136785866464314	0.919730267584352	3.87239440528755	0.000320513590974257	0.0362326086298989	-0.972424633066566	0.912890974261136	0.926569560907567	0.0136785866464312	14	21271460	R	II	RNASE1	TSS1500	opensea	TSS1500-opensea		rs558364593	2
cg24364891	0.035928374984608	0.833836390518818	3.87238640108703	0.000320521631637019	0.0362326086298989	-0.972448757626352	0.815872203026514	0.851800578011122	0.035928374984608	10	6882083	R	II	LINC00707	Body	opensea	Body-opensea		rs192256769	16
cg10578851	0.0235507720513998	0.307684992083496	3.87237010406892	0.000320538003495744	0.0362326086298989	-0.972497876552623	0.295909606057796	0.319460378109196	0.0235507720513999	2	10437673	F	II		IGR	opensea	IGR-opensea			
cg16483329	0.0310852135157847	0.777727625699234	3.8723642904255	0.000320543844032292	0.0362326086298989	-0.972515398745311	0.762185018941342	0.793270232457127	0.0310852135157849	5	6349952	F	II		IGR	opensea	IGR-opensea		rs193194377;rs116439170;rs558109295;rs571584574;rs533517229;rs56085350	1;6;18;34;46;51
cg13170443	0.0272438928950173	0.860728443076923	3.87234309494542	0.000320565138429158	0.0362326086298989	-0.972579281335711	0.847106496629414	0.874350389524431	0.0272438928950176	2	48755207	F	II		IGR	shelf	IGR-shelf	chr2:48757211-48757785	rs74405654	27
cg00201375	0.0241990255375752	0.269448919426711	3.87227172810454	0.000320636848363302	0.0362352202950729	-0.972794377660109	0.257349406657923	0.281548432195499	0.0241990255375752	17	21256838	R	II		IGR	opensea	IGR-opensea		rs148796036	44
cg17699100	0.0354845726564631	0.553368237567559	3.87205424762813	0.00032085546980294	0.0362544311444751	-0.973449840731686	0.535625951239328	0.571110523895791	0.0354845726564629	10	45420996	F	II	TMEM72	Body	opensea	Body-opensea		rs545995974;rs143340914	1;11
cg01103916	0.035494014237721	0.862668901114045	3.87167126345253	0.000321240812815644	0.0362843443100035	-0.974604067066534	0.844921893995184	0.880415908232906	0.0354940142377211	16	88940516	F	II		IGR	shelf	IGR-shelf	chr16:88937055-88937387	rs138654335;rs531774777;rs149315915;rs562035800;rs530033358	0;2;17;27;35
cg02033302	0.0297861002304985	0.502821329119436	3.87165949550717	0.000321252660307	0.0362843443100035	-0.97463953199481	0.487928279004187	0.517714379234685	0.0297861002304984	14	35822554	R	II		IGR	opensea	IGR-opensea		rs146020558;rs572774385	18;2
cg19736179	-0.0380982241235086	0.678103451045403	-3.87161111708502	0.000321301370173381	0.0362843443100035	-0.974785328918032	0.697152563107157	0.659054338983648	-0.0380982241235086	14	50364197	F	II		IGR	shelf	IGR-shelf	chr14:50359340-50360797	rs549308060;rs150646777	12;40
cg22570405	0.0273206551761634	0.413488071949749	3.87158577370747	0.00032132689002371	0.0362843443100035	-0.974861705279749	0.399827744361667	0.427148399537831	0.0273206551761636	2	46006053	R	II	PRKCE	Body	opensea	Body-opensea		rs73926086	12
cg05749408	0.0280870044863135	0.285166207479092	3.87154936960512	0.000321363551038932	0.0362843443100035	-0.974971414459548	0.271122705235935	0.299209709722249	0.0280870044863134	3	119030451	F	II	ARHGAP31	Body	opensea	Body-opensea		rs186220087	34
cg26966817	0.020029134628418	0.911837612629729	3.87144110672723	0.000321472601796924	0.0362873846060067	-0.97529767752949	0.90182304531552	0.921852179943938	0.0200291346284179	1	31384994	F	II		IGR	shelf	IGR-shelf	chr1:31380844-31381078	rs536161832;rs553194470;rs186355840;rs142394970;rs372576240	0;10;28;33;38
cg26655325	0.0265322892003889	0.604130281639414	3.87142599616009	0.000321487825169107	0.0362873846060067	-0.975343214638606	0.59086413703922	0.617396426239609	0.0265322892003887	18	61559642	R	II	SERPINB2	Body	opensea	Body-opensea		rs187103212	29
cg25282281	0.029122473107195	0.341975558759271	3.87113938122681	0.000321776711487706	0.0363144941208002	-0.97620693778074	0.327414322205673	0.356536795312868	0.029122473107195	4	154577141	R	II		IGR	opensea	IGR-opensea		rs73856959;rs187438789	14;2
cg18888137	0.0233470174604087	0.24557414474126	3.87083943281352	0.000322079305080165	0.0363431421458764	-0.977110805569027	0.233900636011056	0.257247653471464	0.0233470174604086	6	32945759	F	II	BRD2	Body	opensea	Body-opensea		rs2066740;rs540735041	37;40
cg21186778	0.0222754789818485	0.753472250798345	3.87066432248735	0.000322256086535437	0.0363536658733003	-0.977638467791244	0.742334511307421	0.764609990289269	0.0222754789818483	9	4855519	F	II	RCL1	Body	opensea	Body-opensea		rs188226115;rs574231490	26;51
cg19537243	0.0139257600516351	0.932193812778068	3.87065045257123	0.000322270092815617	0.0363536658733003	-0.977680261650155	0.925230932752251	0.939156692803886	0.0139257600516348	8	119500053	R	II	SAMD12	Body	opensea	Body-opensea		rs562154252	47
